id,operation,element
1,AmerICanreupSystem,Amer I Can re-up System
2,FAQ,FAQ
3,Goals,Goals
4,Addgoalpage,Goals
5,Addgoalinformation,Goals
6,addthegoalstothedatabase,Goals
7,HonorCode,Honor_Code
8,Showconfirmation,Honor_Code
9,ReUp,Re-Up
10,Reportcard,Report card
11,clickson��viewreportcard��button,Report card
12,Sacrifices,Sacrifices
13,userwillbepromptedtoentersacrifices,Sacrifices
14,Editscacirficesinfrormation,Sacrifices
15,UserAccountRecord,User Account Record
16,enteruserstatusmessageandchooseMottoorFreeSpeech,User Account Record
17,searchinthecorrespondinguser��srecord,User Account Record
18,UserProfile,User Profile
19,clicksonaddsgoalstohisprofilebutton,User Profile
20,displaythegoalsonthemember��sprofilepage,User Profile
21,Userdb,User Profile
22,UserSettings,User Settings
23,AddMottoinformation,User Settings
24,displayamessagetotheuserstating,User Settings
25,choosetoeditoralteranalreadyexistingtask,User Settings
26,myG,myG
27,personallegend,personal legend
28,entersupto5taskspage,personal legend
29,Validateusenameandpassword,personal legend
30,status,status
31,clickson��Addeditstatus��button,status
32,enteruserstatusmessageandaddMotto,status
33,statusmessagewillbedisplayed,status
34,Taskdb,status
35,Addstatusinformation,status
36,userdatabse,status
37,themesong,theme song
38,Memberdb,theme song
39,Endthesession,theme song
40,typesanameinthesearchbox,theme song
41,clickson��UploadThemesong��button,theme song
42,prompttheusertoenterthethemesong,theme song
43,ttBox,ttBox
44,Mottodb,ttBox
45,enteredtaskswillbedisplayedinthettBox,ttBox
46,tutorialvideo,tutorial video
47,Chooseoneofallvideos,tutorial video
48,updatethepathinthedatabase,updatethepathinthedatabase
49,checkwhetherthesyntaxenteredisthatofanURLornot,updatethepathinthedatabase
50,memberdatabse,updatethepathinthedatabase
51,searchforthecorrespondingnameinthedatabase,updatethepathinthedatabase
52,Homepage,Homepage
53,Edittaskpage,Homepage
54,Showconfirmationpage,Homepage
55,Loginpage,Homepage
