id,element,useCase,type,component
1,display the job search result in the job page:job list page,Search all existing jobs,boundary,job
2,search jobs from job listings database:display the job search result in the job page,Search all existing jobs,boundary,SearchJobsServerPage
3,Jobseeker:job list page,Search all existing jobs,boundary,job
4,search jobs from job listings database:job listing database,Search all existing jobs,control,ExistingJobsController
5,redict to search page:search page,Search all existing jobs,boundary,SearchJobsServerPage
6,search for jobs button:redict to search page,Search all existing jobs,boundary,SearchJobsServerPage
7,Jobseeker:search for jobs button,Search all existing jobs,boundary,SearchJobsServerPage
8,send search term to the server:search jobs from job listings database,Search all existing jobs,boundary,SearchJobsServerPage
9,search page:validate if search term is non-empty,Search all existing jobs,boundary,SearchJobsServerPage
10,Jobseeker:search page,Search all existing jobs,boundary,SearchJobsServerPage
11,validate if search term is non-empty:send search term to the server,Search all existing jobs,boundary,SearchJobsServerPage
12,stl#Jobseeker:job list page,Search all existing jobs,Stimulus,undefined
13,stl#Jobseeker:search for jobs button,Search all existing jobs,Stimulus,undefined
14,stl#Jobseeker:search page,Search all existing jobs,Stimulus,undefined
