id,attribute,type,element
1,jobID,EAJava_int,ExistingJobsController
2,jobTitle,EAJava_string,ExistingJobsController
3,duties,EAJava_string,ExistingJobsController
4,link,EAJava_string,ExistingJobsController
5,isOpen,EAJava_boolean,ExistingJobsController
6,requirements,EAJava_string,ExistingJobsController
7,toAddress,EAJava_void,Notifications
8,fromAddress,EAJava_void,Notifications
9,subject,EAJava_void,Notifications
10,body,EAJava_void,Notifications
11,jobID,EAJava_void,RSSFeedParser
12,jobTitle,EAJava_void,RSSFeedParser
13,description,EAJava_void,RSSFeedParser
14,undefined,EAID_9945257C_85A3_42d4_A896_3BFA33DFB827,RSSFeedRetriever
15,jobID,EAJava_int,SubscriptionsController
16,userID,EAJava_int,SubscriptionsController
17,userName,EAJava_string,UserProfileController
18,email,EAJava_string,UserProfileController
19,mobileNumber,EAJava_string,UserProfileController
20,mobileCarrier,EAJava_string,UserProfileController
21,useMobile,EAJava_boolean,UserProfileController
22,useEmail,EAJava_boolean,UserProfileController
23,carrier,EAJava_void,mobileNotification
