id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Confirmation box->User:Confirmation box->Confirmation box:Check user exist or invalid username->Check user exist or invalid username:Redirect to view market director accounts page->Redirect to view market director accounts page:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,5,1,7.5,4,37.5
2,stl#User:Confirmation box->User:Confirmation box->Confirmation box:Check user exist or invalid username->Check user exist or invalid username:not exist or invlide username.,view marketing director accounts,CTRL,4,1,5.333333333333333,3,21.333333333333332
3,stl#User:Confirmation box->User:Confirmation box->Confirmation box:Cancel->Cancel:View Market Director Accounts Page,view marketing director accounts,CTRL;EXTCLL;INT,4,1,5.333333333333333,3,21.333333333333332
4,stl#User:not exist or invlide username.->User:not exist or invlide username.,view marketing director accounts,CTRL,2,0,6,1,12
5,stl#User:View Market Director Accounts Page->User:View Market Director Accounts Page,view marketing director accounts,CTRL;EXTCLL;INT,2,0,10,1,20
6,stl#User:list of director account records->User:list of director account records->list of director account records:Popup Confirmation box->Popup Confirmation box:Confirmation box->Confirmation box:Check user exist or invalid username->Check user exist or invalid username:Redirect to view market director accounts page->Redirect to view market director accounts page:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,7,1,7.333333333333333,6,51.33333333333333
7,stl#User:list of director account records->User:list of director account records->list of director account records:Popup Confirmation box->Popup Confirmation box:Confirmation box->Confirmation box:Check user exist or invalid username->Check user exist or invalid username:not exist or invlide username.,view marketing director accounts,TRAN_NA,6,1,6,5,36
8,stl#User:list of director account records->User:list of director account records->list of director account records:Popup Confirmation box->Popup Confirmation box:Confirmation box->Confirmation box:Cancel->Cancel:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,6,1,6,5,36
9,stl#User:list of director account records->User:list of director account records->list of director account records:Popup Confirmation box->Popup Confirmation box:Check user exist or invalid username->Check user exist or invalid username:Redirect to view market director accounts page->Redirect to view market director accounts page:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,6,1,8,5,48
10,stl#User:list of director account records->User:list of director account records->list of director account records:Popup Confirmation box->Popup Confirmation box:Check user exist or invalid username->Check user exist or invalid username:not exist or invlide username.,view marketing director accounts,TRAN_NA,5,1,6.5,4,32.5
11,stl#User:"Account Management" Page->User:"Account Management" Page->"Account Management" Page:REtrieve a list of marketing director account records->REtrieve a list of marketing director account records:list of director account records->list of director account records:Popup Confirmation box->Popup Confirmation box:Confirmation box->Confirmation box:Check user exist or invalid username->Check user exist or invalid username:Redirect to view market director accounts page->Redirect to view market director accounts page:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,9,2,7,8,63
12,stl#User:"Account Management" Page->User:"Account Management" Page->"Account Management" Page:REtrieve a list of marketing director account records->REtrieve a list of marketing director account records:list of director account records->list of director account records:Popup Confirmation box->Popup Confirmation box:Confirmation box->Confirmation box:Check user exist or invalid username->Check user exist or invalid username:not exist or invlide username.,view marketing director accounts,TRAN_NA,8,2,6,7,48
13,stl#User:"Account Management" Page->User:"Account Management" Page->"Account Management" Page:REtrieve a list of marketing director account records->REtrieve a list of marketing director account records:list of director account records->list of director account records:Popup Confirmation box->Popup Confirmation box:Confirmation box->Confirmation box:Cancel->Cancel:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,8,2,6,7,48
14,stl#User:"Account Management" Page->User:"Account Management" Page->"Account Management" Page:REtrieve a list of marketing director account records->REtrieve a list of marketing director account records:list of director account records->list of director account records:Popup Confirmation box->Popup Confirmation box:Check user exist or invalid username->Check user exist or invalid username:Redirect to view market director accounts page->Redirect to view market director accounts page:View Market Director Accounts Page,view marketing director accounts,TRAN_NA,8,2,7.428571428571429,7,59.42857142857143
15,stl#User:"Account Management" Page->User:"Account Management" Page->"Account Management" Page:REtrieve a list of marketing director account records->REtrieve a list of marketing director account records:list of director account records->list of director account records:Popup Confirmation box->Popup Confirmation box:Check user exist or invalid username->Check user exist or invalid username:not exist or invlide username.,view marketing director accounts,TRAN_NA,7,2,6.333333333333333,6,44.33333333333333
16,stl#User:"Account Management" Page->User:"Account Management" Page->"Account Management" Page:REtrieve a list of marketing director account records->REtrieve a list of marketing director account records:director accounts db,view marketing director accounts,TRAN_NA,4,1,7.333333333333333,3,29.333333333333332
17,stl#User:"Account Management" Page->User:"Account Management" Page->"Account Management" Page:REtrieve a list of marketing director account records->REtrieve a list of marketing director account records:"Account Management" Page->"Account Management" Page:REtrieve a list of marketing director account records,view marketing director accounts,TRAN_NA,5,2,6,4,30
