id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:deactivate the user's session->deactivate the user's session:Invalid username and password message,logout,4,0,3,0,0
2,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:deactivate the user's session->deactivate the user's session:Logout Button->Logout Button:deactivate the user's session->deactivate the user's session:Invalid username and password message,logout,6,1,4,0,0
3,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:deactivate the user's session->deactivate the user's session:Logout Button->Logout Button:deactivate the user's session->deactivate the user's session:Redirect the user to the login page->Redirect the user to the login page:Login page,logout,7,3,3,0,0
4,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:deactivate the user's session->deactivate the user's session:Logout Button->Logout Button:deactivate the user's session->deactivate the user's session:User Info,logout,6,1,3,1,0
5,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:deactivate the user's session->deactivate the user's session:Logout Button->Logout Button:deactivate the user's session->deactivate the user's session:User'session is alreayd deactivated,logout,6,2,3,0,0
6,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:deactivate the user's session->deactivate the user's session:Logout Button->Logout Button:deactivate the user's session->deactivate the user's session:Logout Button,logout,6,2,3,0,0
7,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:deactivate the user's session->deactivate the user's session:Redirect the user to the login page->Redirect the user to the login page:Login page,logout,5,2,2,0,0
8,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:deactivate the user's session->deactivate the user's session:User Info,logout,4,0,2,1,0
9,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:deactivate the user's session->deactivate the user's session:User'session is alreayd deactivated,logout,4,1,2,0,0
10,stl#User:Login page->User:Login page,logout,2,1,0,0,0
11,stl#User:Invalid username and password message->User:Invalid username and password message,logout,2,0,1,0,0
12,stl#User:Logout Button->User:Logout Button->Logout Button:deactivate the user's session->deactivate the user's session:Invalid username and password message,logout,4,1,2,0,0
13,stl#User:Logout Button->User:Logout Button->Logout Button:deactivate the user's session->deactivate the user's session:Logout Button->Logout Button:deactivate the user's session,logout,5,2,2,0,0
14,stl#User:Logout Button->User:Logout Button->Logout Button:deactivate the user's session->deactivate the user's session:Redirect the user to the login page->Redirect the user to the login page:Login page,logout,5,3,1,0,0
15,stl#User:Logout Button->User:Logout Button->Logout Button:deactivate the user's session->deactivate the user's session:User Info,logout,4,1,1,1,0
16,stl#User:Logout Button->User:Logout Button->Logout Button:deactivate the user's session->deactivate the user's session:User'session is alreayd deactivated,logout,4,2,1,0,0
17,stl#User:User'session is alreayd deactivated->User:User'session is alreayd deactivated,logout,2,1,0,0,0
