id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#Transport Coordinator:Vlunteer Diaster Homepage->Transport Coordinator:Vlunteer Diaster Homepage,Manage victim emergency emt assignment information,2,0,1,0,0
2,stl#Transport Coordinator:category's page->Transport Coordinator:category's page,Manage victim emergency emt assignment information,2,1,0,0,0
3,stl#Transport Coordinator:management assigments details page->Transport Coordinator:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Hospital information,Manage victim emergency emt assignment information,4,3,0,0,0
4,stl#Transport Coordinator:management assigments details page->Transport Coordinator:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Update Victims Assignments Form Page->Update Victims Assignments Form Page:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:Redirects to the manage victims/EMT assignmetns page->Redirects to the manage victims/EMT assignmetns page:Management victims/EMT asignments page,Manage victim emergency emt assignment information,8,5,2,0,0
5,stl#Transport Coordinator:management assigments details page->Transport Coordinator:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Update Victims Assignments Form Page->Update Victims Assignments Form Page:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:Redirects to the manage victims/EMT assignmetns page->Redirects to the manage victims/EMT assignmetns page:add new victim record to db->add new victim record to db:Vlunteer Diaster Homepage,Manage victim emergency emt assignment information,9,4,4,0,0
6,stl#Transport Coordinator:management assigments details page->Transport Coordinator:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Update Victims Assignments Form Page->Update Victims Assignments Form Page:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:Redirects to the manage victims/EMT assignmetns page->Redirects to the manage victims/EMT assignmetns page:add new victim record to db->add new victim record to db:db,Manage victim emergency emt assignment information,9,4,3,1,0
7,stl#Transport Coordinator:management assigments details page->Transport Coordinator:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Update Victims Assignments Form Page->Update Victims Assignments Form Page:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:Redirects to the manage victims/EMT assignmetns page->Redirects to the manage victims/EMT assignmetns page:add new victim record to db->add new victim record to db:volunteer homepage,Manage victim emergency emt assignment information,9,4,4,0,0
8,stl#Transport Coordinator:management assigments details page->Transport Coordinator:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Update Victims Assignments Form Page->Update Victims Assignments Form Page:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:category's page,Manage victim emergency emt assignment information,7,4,2,0,0
9,stl#Transport Coordinator:management assigments details page->Transport Coordinator:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Update Victims Assignments Form Page->Update Victims Assignments Form Page:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:assignment detail database,Manage victim emergency emt assignment information,7,4,2,0,0
10,stl#Transport Coordinator:management assigments details page->Transport Coordinator:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Update Victims Assignments Form Page->Update Victims Assignments Form Page:Validates input as being correct->Validates input as being correct:null input informaiton error,Manage victim emergency emt assignment information,6,3,2,0,0
11,stl#Transport Coordinator:Management victims/EMT asignments page->Transport Coordinator:Management victims/EMT asignments page,Manage victim emergency emt assignment information,2,1,0,0,0
12,stl#Transport Coordinator:null input informaiton error->Transport Coordinator:null input informaiton error,Manage victim emergency emt assignment information,2,0,1,0,0
13,stl#Transport Coordinator:"Manage victims/EMT assignments" button->Transport Coordinator:"Manage victims/EMT assignments" button->"Manage victims/EMT assignments" button:Redirect to management/EMT assignments page->Redirect to management/EMT assignments page:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Hospital information,Manage victim emergency emt assignment information,6,5,0,0,0
14,stl#Transport Coordinator:"Manage victims/EMT assignments" button->Transport Coordinator:"Manage victims/EMT assignments" button->"Manage victims/EMT assignments" button:Redirect to management/EMT assignments page->Redirect to management/EMT assignments page:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Update Victims Assignments Form Page->Update Victims Assignments Form Page:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:Redirects to the manage victims/EMT assignmetns page->Redirects to the manage victims/EMT assignmetns page:Management victims/EMT asignments page,Manage victim emergency emt assignment information,10,7,2,0,0
15,stl#Transport Coordinator:"Manage victims/EMT assignments" button->Transport Coordinator:"Manage victims/EMT assignments" button->"Manage victims/EMT assignments" button:Redirect to management/EMT assignments page->Redirect to management/EMT assignments page:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Update Victims Assignments Form Page->Update Victims Assignments Form Page:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:Redirects to the manage victims/EMT assignmetns page->Redirects to the manage victims/EMT assignmetns page:add new victim record to db->add new victim record to db:Vlunteer Diaster Homepage,Manage victim emergency emt assignment information,11,6,4,0,0
16,stl#Transport Coordinator:"Manage victims/EMT assignments" button->Transport Coordinator:"Manage victims/EMT assignments" button->"Manage victims/EMT assignments" button:Redirect to management/EMT assignments page->Redirect to management/EMT assignments page:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Update Victims Assignments Form Page->Update Victims Assignments Form Page:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:Redirects to the manage victims/EMT assignmetns page->Redirects to the manage victims/EMT assignmetns page:add new victim record to db->add new victim record to db:db,Manage victim emergency emt assignment information,11,6,3,1,0
17,stl#Transport Coordinator:"Manage victims/EMT assignments" button->Transport Coordinator:"Manage victims/EMT assignments" button->"Manage victims/EMT assignments" button:Redirect to management/EMT assignments page->Redirect to management/EMT assignments page:management assigments details page->management assigments details page:Redirects to update victim assignment form page->Redirects to update victim assignment form page:Update Victims Assignments Form Page->Update Victims Assignments Form Page:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:Redirects to the manage victims/EMT assignmetns page->Redirects to the manage victims/EMT assignmetns page:add new victim record to db->add new victim record to db:volunteer homepage,Manage victim emergency emt assignment information,11,6,4,0,0
