id,element,useCase,type,component
1,Supervisor:authentification failure message,On time login to MedFRS Device App,boundary,Redirectstorespirationperfusionmetalstatuspage
2,Supervisor:volunteer homepage,On time login to MedFRS Device App,control,Volunteer
3,Supervisor:Individual details page,On time login to MedFRS Device App,boundary,returnsaddEMTfrompage
4,Supervisor:OTP page,On time login to MedFRS Device App,boundary,categoryspage
5,Supervisor:Delete Page,On time login to MedFRS Device App,boundary,categoryspage
6,Supervisor:Management Individuals Page,On time login to MedFRS Device App,boundary,EMT Building Assignment
7,Supervisor:Update Individual Form Page,On time login to MedFRS Device App,boundary,categoryspage
8,Supervisor:OTP empty error message,On time login to MedFRS Device App,boundary,returnsaddEMTfrompage
9,Redirect to delete page:Delete Page,On time login to MedFRS Device App,boundary,categoryspage
10,Individual details page:authenticate the OTP,On time login to MedFRS Device App,boundary,categoryspage
11,check OTP entered is non-empty:Individual details page,On time login to MedFRS Device App,boundary,returnsaddEMTfrompage
12,receive and storate device id at local storage:Management Individuals Page,On time login to MedFRS Device App,boundary,EMT Building Assignment
13,check OTP entered is non-empty:OTP empty error message,On time login to MedFRS Device App,boundary,returnsaddEMTfrompage
14,OTP page:check local storage,On time login to MedFRS Device App,boundary,categoryspage
15,Update Individual Form Page:Redirect to delete page,On time login to MedFRS Device App,boundary,Redirectstorespirationperfusionmetalstatuspage
16,Update Individual Form Page:send ot device,On time login to MedFRS Device App,control,Victim
17,authenticate the OTP:Update Individual Form Page,On time login to MedFRS Device App,boundary,categoryspage
18,authenticate the OTP:generates unique device id,On time login to MedFRS Device App,control,ValidatesInput
19,check OTP entered is non-empty:authenticate the OTP,On time login to MedFRS Device App,boundary,categoryspage
20,generates unique device id:authentification failure message,On time login to MedFRS Device App,boundary,Redirectstorespirationperfusionmetalstatuspage
21,check OTP entered is non-empty:local storage,On time login to MedFRS Device App,boundary,categoryspage
22,check local storage:check OTP entered is non-empty,On time login to MedFRS Device App,control,Disaster
23,check local storage:volunteer homepage,On time login to MedFRS Device App,control,Volunteer
24,generates unique device id:send ot device,On time login to MedFRS Device App,control,Victim
25,receive and storate device id at local storage:local storage,On time login to MedFRS Device App,boundary,categoryspage
26,receive and storate device id at local storage:volunteer homepage,On time login to MedFRS Device App,control,Volunteer
27,send ot device:receive and storate device id at local storage,On time login to MedFRS Device App,boundary,Redirectstorespirationperfusionmetalstatuspage
28,stl#Supervisor:authentification failure message,On time login to MedFRS Device App,Stimulus,undefined
29,stl#Supervisor:volunteer homepage,On time login to MedFRS Device App,Stimulus,undefined
30,stl#Supervisor:Individual details page,On time login to MedFRS Device App,Stimulus,undefined
31,stl#Supervisor:OTP page,On time login to MedFRS Device App,Stimulus,undefined
32,stl#Supervisor:Delete Page,On time login to MedFRS Device App,Stimulus,undefined
33,stl#Supervisor:Management Individuals Page,On time login to MedFRS Device App,Stimulus,undefined
34,stl#Supervisor:Update Individual Form Page,On time login to MedFRS Device App,Stimulus,undefined
35,stl#Supervisor:OTP empty error message,On time login to MedFRS Device App,Stimulus,undefined
