id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#User:EMT form page->User:EMT form page,Add EMT building assignment in emergency,2,0,0,1,0
2,stl#User:Supervisors' emergency homepage->User:Supervisors' emergency homepage,Add EMT building assignment in emergency,2,1,0,0,0
3,stl#User:Building Assignments Page->User:Building Assignments Page->Building Assignments Page:returns add EMT from page->returns add EMT from page:EMT form page,Add EMT building assignment in emergency,4,3,0,0,0
4,stl#User:Building Assignments Page->User:Building Assignments Page->Building Assignments Page:returns add EMT from page->returns add EMT from page:Validates Input->Validates Input:EMT form page,Add EMT building assignment in emergency,5,3,1,0,0
5,stl#User:Building Assignments Page->User:Building Assignments Page->Building Assignments Page:returns add EMT from page->returns add EMT from page:Validates Input->Validates Input:Prints out the list of victims->Prints out the list of victims:Supervisors' emergency homepage,Add EMT building assignment in emergency,6,3,2,0,0
6,stl#User:Building Assignments Page->User:Building Assignments Page->Building Assignments Page:returns add EMT from page->returns add EMT from page:Validates Input->Validates Input:Prints out the list of victims->Prints out the list of victims:Triage category,Add EMT building assignment in emergency,6,2,2,1,0
7,stl#User:Building Assignments Page->User:Building Assignments Page->Building Assignments Page:returns add EMT from page->returns add EMT from page:Validates Input->Validates Input:submitted add EMT Form page,Add EMT building assignment in emergency,5,3,1,0,0
8,stl#User:submitted add EMT Form page->User:submitted add EMT Form page,Add EMT building assignment in emergency,2,0,0,1,0
9,stl#User:"Add EMT Assignment" button->User:"Add EMT Assignment" button->"Add EMT Assignment" button:Redirects to the building assignments page->Redirects to the building assignments page:Building Assignments Page->Building Assignments Page:returns add EMT from page->returns add EMT from page:EMT form page,Add EMT building assignment in emergency,6,5,0,0,0
10,stl#User:"Add EMT Assignment" button->User:"Add EMT Assignment" button->"Add EMT Assignment" button:Redirects to the building assignments page->Redirects to the building assignments page:Building Assignments Page->Building Assignments Page:returns add EMT from page->returns add EMT from page:Validates Input->Validates Input:EMT form page,Add EMT building assignment in emergency,7,5,1,0,0
11,stl#User:"Add EMT Assignment" button->User:"Add EMT Assignment" button->"Add EMT Assignment" button:Redirects to the building assignments page->Redirects to the building assignments page:Building Assignments Page->Building Assignments Page:returns add EMT from page->returns add EMT from page:Validates Input->Validates Input:Prints out the list of victims->Prints out the list of victims:Supervisors' emergency homepage,Add EMT building assignment in emergency,8,5,2,0,0
12,stl#User:"Add EMT Assignment" button->User:"Add EMT Assignment" button->"Add EMT Assignment" button:Redirects to the building assignments page->Redirects to the building assignments page:Building Assignments Page->Building Assignments Page:returns add EMT from page->returns add EMT from page:Validates Input->Validates Input:Prints out the list of victims->Prints out the list of victims:Triage category,Add EMT building assignment in emergency,8,4,2,1,0
13,stl#User:"Add EMT Assignment" button->User:"Add EMT Assignment" button->"Add EMT Assignment" button:Redirects to the building assignments page->Redirects to the building assignments page:Building Assignments Page->Building Assignments Page:returns add EMT from page->returns add EMT from page:Validates Input->Validates Input:submitted add EMT Form page,Add EMT building assignment in emergency,7,5,1,0,0
14,stl#User:"Add EMT Assignment" button->User:"Add EMT Assignment" button->"Add EMT Assignment" button:Redirects to the building assignments page->Redirects to the building assignments page:Volunteer assignment and EMT assignment DB,Add EMT building assignment in emergency,4,3,0,0,0
15,stl#Supervisor:Add building/hub button->Supervisor:Add building/hub button->Add building/hub button:Redirects to the add building/hub form page->Redirects to the add building/hub form page:Building/hub form page->Building/hub form page:System validates input->System validates input:Input invalid error->Input invalid error:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:Redirects to the management buildings/hubs/disasters page->Redirects to the management buildings/hubs/disasters page:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,10,1,8,0,0
16,stl#Supervisor:Add building/hub button->Supervisor:Add building/hub button->Add building/hub button:Redirects to the add building/hub form page->Redirects to the add building/hub form page:Building/hub form page->Building/hub form page:System validates input->System validates input:Input invalid error->Input invalid error:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:building/hubdb,Add buildings/hubs to the datbase,9,0,8,0,0
17,stl#Supervisor:Add building/hub button->Supervisor:Add building/hub button->Add building/hub button:Redirects to the add building/hub form page->Redirects to the add building/hub form page:Building/hub form page->Building/hub form page:System validates input->System validates input:Input invalid error->Input invalid error:Validates input as being correct->Validates input as being correct:null input informaiton error,Add buildings/hubs to the datbase,8,0,7,0,0
18,stl#Supervisor:Add building/hub button->Supervisor:Add building/hub button->Add building/hub button:Redirects to the add building/hub form page->Redirects to the add building/hub form page:Building/hub form page->Building/hub form page:System validates input->System validates input:Insert the new record into db->Insert the new record into db:building/hubdb,Add buildings/hubs to the datbase,7,0,5,1,0
19,stl#Supervisor:null input informaiton error->Supervisor:null input informaiton error,Add buildings/hubs to the datbase,2,0,1,0,0
20,stl#Supervisor:Input invalid error->Supervisor:Input invalid error->Input invalid error:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:Redirects to the management buildings/hubs/disasters page->Redirects to the management buildings/hubs/disasters page:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,6,1,4,0,0
21,stl#Supervisor:Input invalid error->Supervisor:Input invalid error->Input invalid error:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:building/hubdb,Add buildings/hubs to the datbase,5,0,4,0,0
22,stl#Supervisor:Input invalid error->Supervisor:Input invalid error->Input invalid error:Validates input as being correct->Validates input as being correct:null input informaiton error,Add buildings/hubs to the datbase,4,0,3,0,0
23,stl#Supervisor:Manage bildings/hubs/disasters page->Supervisor:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,2,0,1,0,0
24,stl#Supervisor:Building/hub form page->Supervisor:Building/hub form page->Building/hub form page:System validates input->System validates input:Input invalid error->Input invalid error:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:Redirects to the management buildings/hubs/disasters page->Redirects to the management buildings/hubs/disasters page:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,8,1,6,0,0
25,stl#Supervisor:Building/hub form page->Supervisor:Building/hub form page->Building/hub form page:System validates input->System validates input:Input invalid error->Input invalid error:Validates input as being correct->Validates input as being correct:System updates record in the database->System updates record in the database:building/hubdb,Add buildings/hubs to the datbase,7,0,6,0,0
26,stl#Supervisor:Building/hub form page->Supervisor:Building/hub form page->Building/hub form page:System validates input->System validates input:Input invalid error->Input invalid error:Validates input as being correct->Validates input as being correct:null input informaiton error,Add buildings/hubs to the datbase,6,0,5,0,0
27,stl#Supervisor:Building/hub form page->Supervisor:Building/hub form page->Building/hub form page:System validates input->System validates input:Insert the new record into db->Insert the new record into db:building/hubdb,Add buildings/hubs to the datbase,5,0,3,1,0
28,stl#Supervisor:"add individual" button->Supervisor:"add individual" button->"add individual" button:redirects to the add individual form page->redirects to the add individual form page:Add invidual form page->Add invidual form page:validates input->validates input:Insert the new individual's record into db->Insert the new individual's record into db:Redirect View Individual's Page->Redirect View Individual's Page:send ot device->send ot device:receive and storate device id at local storage->receive and storate device id at local storage:individuals record db,Add individuals to the list of allowed users,10,0,9,0,0
29,stl#Supervisor:"add individual" button->Supervisor:"add individual" button->"add individual" button:redirects to the add individual form page->redirects to the add individual form page:Add invidual form page->Add invidual form page:validates input->validates input:Insert the new individual's record into db->Insert the new individual's record into db:Redirect View Individual's Page->Redirect View Individual's Page:View Individual's page,Add individuals to the list of allowed users,8,0,7,0,0
30,stl#Supervisor:"add individual" button->Supervisor:"add individual" button->"add individual" button:redirects to the add individual form page->redirects to the add individual form page:Add invidual form page->Add invidual form page:validates input->validates input:Insert the new individual's record into db->Insert the new individual's record into db:individuals record db,Add individuals to the list of allowed users,7,0,6,0,0
31,stl#Supervisor:"add individual" button->Supervisor:"add individual" button->"add individual" button:redirects to the add individual form page->redirects to the add individual form page:Add invidual form page->Add invidual form page:validates input->validates input:invalidate error message,Add individuals to the list of allowed users,6,0,5,0,0
32,stl#Supervisor:View Individual's page->Supervisor:View Individual's page,Add individuals to the list of allowed users,2,0,1,0,0
33,stl#Supervisor:invalidate error message->Supervisor:invalidate error message,Add individuals to the list of allowed users,2,0,1,0,0
34,stl#Supervisor:OTP empty error message->Supervisor:OTP empty error message,Add individuals to the list of allowed users,2,1,0,0,0
35,stl#Supervisor:Add invidual form page->Supervisor:Add invidual form page->Add invidual form page:validates input->validates input:Insert the new individual's record into db->Insert the new individual's record into db:Redirect View Individual's Page->Redirect View Individual's Page:send ot device->send ot device:receive and storate device id at local storage->receive and storate device id at local storage:individuals record db,Add individuals to the list of allowed users,8,0,7,0,0
36,stl#Supervisor:Add invidual form page->Supervisor:Add invidual form page->Add invidual form page:validates input->validates input:Insert the new individual's record into db->Insert the new individual's record into db:Redirect View Individual's Page->Redirect View Individual's Page:View Individual's page,Add individuals to the list of allowed users,6,0,5,0,0
37,stl#Supervisor:Add invidual form page->Supervisor:Add invidual form page->Add invidual form page:validates input->validates input:Insert the new individual's record into db->Insert the new individual's record into db:individuals record db,Add individuals to the list of allowed users,5,0,4,0,0
38,stl#Supervisor:Add invidual form page->Supervisor:Add invidual form page->Add invidual form page:validates input->validates input:invalidate error message,Add individuals to the list of allowed users,4,0,3,0,0
39,stl#Supervisor:View Individual's page->Supervisor:View Individual's page,Add volunteers to the system,2,0,1,0,0
40,stl#Supervisor:Add invidual form page->Supervisor:Add invidual form page->Add invidual form page:validates input->validates input:Insert the new individual's record into db->Insert the new individual's record into db:generate one time pass (OTP) and send it to users->generate one time pass (OTP) and send it to users:redirect to individua's page->redirect to individua's page:View Individual's page,Add volunteers to the system,7,0,6,0,0
41,stl#Supervisor:Add invidual form page->Supervisor:Add invidual form page->Add invidual form page:validates input->validates input:Insert the new individual's record into db->Insert the new individual's record into db:individuals record db,Add volunteers to the system,5,0,4,0,0
42,stl#Supervisor:Add invidual form page->Supervisor:Add invidual form page->Add invidual form page:validates input->validates input:invalidate error message,Add volunteers to the system,4,0,3,0,0
43,stl#Supervisor:"add individual" button->Supervisor:"add individual" button->"add individual" button:redirects to the add individual form page->redirects to the add individual form page:Add invidual form page->Add invidual form page:validates input->validates input:Insert the new individual's record into db->Insert the new individual's record into db:generate one time pass (OTP) and send it to users->generate one time pass (OTP) and send it to users:redirect to individua's page->redirect to individua's page:View Individual's page,Add volunteers to the system,9,0,8,0,0
44,stl#Supervisor:"add individual" button->Supervisor:"add individual" button->"add individual" button:redirects to the add individual form page->redirects to the add individual form page:Add invidual form page->Add invidual form page:validates input->validates input:Insert the new individual's record into db->Insert the new individual's record into db:individuals record db,Add volunteers to the system,7,0,6,0,0
45,stl#Supervisor:"add individual" button->Supervisor:"add individual" button->"add individual" button:redirects to the add individual form page->redirects to the add individual form page:Add invidual form page->Add invidual form page:validates input->validates input:invalidate error message,Add volunteers to the system,6,0,5,0,0
46,stl#Supervisor:invalidate error message->Supervisor:invalidate error message,Add volunteers to the system,2,0,1,0,0
47,stl#User:"Emergency" button->User:"Emergency" button->"Emergency" button:System redirects to Disaste page->System redirects to Disaste page:Disaster page->Disaster page:validate theat all fields are non-empty->validate theat all fields are non-empty:Superviser's emergency disaster homepage,Add/Chose Disaster,6,1,4,0,0
48,stl#User:"Emergency" button->User:"Emergency" button->"Emergency" button:System redirects to Disaste page->System redirects to Disaste page:Disaster page->Disaster page:validate theat all fields are non-empty->validate theat all fields are non-empty:System inserts the disaster record in the database->System inserts the disaster record in the database:Disaster record db,Add/Chose Disaster,7,1,5,0,0
49,stl#User:"Emergency" button->User:"Emergency" button->"Emergency" button:System redirects to Disaste page->System redirects to Disaste page:Disaster page->Disaster page:validate theat all fields are non-empty->validate theat all fields are non-empty:System inserts the disaster record in the database->System inserts the disaster record in the database:Superviser's emergency disaster homepage,Add/Chose Disaster,7,1,5,0,0
50,stl#User:Disaster page->User:Disaster page->Disaster page:validate theat all fields are non-empty->validate theat all fields are non-empty:Superviser's emergency disaster homepage,Add/Chose Disaster,4,0,3,0,0
51,stl#User:Disaster page->User:Disaster page->Disaster page:validate theat all fields are non-empty->validate theat all fields are non-empty:System inserts the disaster record in the database->System inserts the disaster record in the database:Disaster record db,Add/Chose Disaster,5,0,4,0,0
52,stl#User:Disaster page->User:Disaster page->Disaster page:validate theat all fields are non-empty->validate theat all fields are non-empty:System inserts the disaster record in the database->System inserts the disaster record in the database:Superviser's emergency disaster homepage,Add/Chose Disaster,5,0,4,0,0
53,stl#User:Superviser's emergency disaster homepage->User:Superviser's emergency disaster homepage,Add/Chose Disaster,2,0,1,0,0
54,stl#Transport Coordinator:category's page->Transport Coordinator:category's page,Enter Victim Data,2,1,0,0,0
55,stl#Transport Coordinator:volunteer homepage->Transport Coordinator:volunteer homepage,Enter Victim Data,2,0,1,0,0
56,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Hospital information,Enter Victim Data,4,3,0,0,0
57,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page->Respiration/perfusion/metal status page:Categorizes the victim->Categorizes the victim:Category page,Enter Victim Data,6,4,1,0,0
58,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page->Respiration/perfusion/metal status page:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:Vaidates the input->Vaidates the input:Error message,Enter Victim Data,8,5,2,0,0
59,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page->Respiration/perfusion/metal status page:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:Vaidates the input->Vaidates the input:add new victim record to db->add new victim record to db:Vlunteer Diaster Homepage,Enter Victim Data,9,4,4,0,0
60,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page->Respiration/perfusion/metal status page:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:Vaidates the input->Vaidates the input:add new victim record to db->add new victim record to db:volunteer homepage,Enter Victim Data,9,4,4,0,0
61,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page->Respiration/perfusion/metal status page:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:Vaidates the input->Vaidates the input:add new victim record to db->add new victim record to db:db,Enter Victim Data,9,4,3,1,0
62,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page->Respiration/perfusion/metal status page:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:category's page,Enter Victim Data,7,5,1,0,0
63,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Updates the database for building information->Updates the database for building information:Categorizes the victim->Categorizes the victim:Category page,Enter Victim Data,6,3,2,0,0
64,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Updates the database for building information->Updates the database for building information:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:Vaidates the input->Vaidates the input:Error message,Enter Victim Data,8,4,3,0,0
65,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Updates the database for building information->Updates the database for building information:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:Vaidates the input->Vaidates the input:add new victim record to db->add new victim record to db:Vlunteer Diaster Homepage,Enter Victim Data,9,3,5,0,0
66,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Updates the database for building information->Updates the database for building information:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:Vaidates the input->Vaidates the input:add new victim record to db->add new victim record to db:volunteer homepage,Enter Victim Data,9,3,5,0,0
67,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Updates the database for building information->Updates the database for building information:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:Vaidates the input->Vaidates the input:add new victim record to db->add new victim record to db:db,Enter Victim Data,9,3,4,1,0
68,stl#Transport Coordinator:"is he breathing" page->Transport Coordinator:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Updates the database for building information->Updates the database for building information:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:category's page,Enter Victim Data,7,4,2,0,0
69,stl#Transport Coordinator:Error message->Transport Coordinator:Error message,Enter Victim Data,2,1,0,0,0
70,stl#Transport Coordinator:Vlunteer Diaster Homepage->Transport Coordinator:Vlunteer Diaster Homepage,Enter Victim Data,2,0,1,0,0
71,stl#Transport Coordinator:"add victim" button->Transport Coordinator:"add victim" button->"add victim" button:Redirects to the "is he breathing" page->Redirects to the "is he breathing" page:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Hospital information,Enter Victim Data,6,4,1,0,0
72,stl#Transport Coordinator:"add victim" button->Transport Coordinator:"add victim" button->"add victim" button:Redirects to the "is he breathing" page->Redirects to the "is he breathing" page:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page->Respiration/perfusion/metal status page:Categorizes the victim->Categorizes the victim:Category page,Enter Victim Data,8,5,2,0,0
73,stl#Transport Coordinator:"add victim" button->Transport Coordinator:"add victim" button->"add victim" button:Redirects to the "is he breathing" page->Redirects to the "is he breathing" page:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page->Respiration/perfusion/metal status page:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:Vaidates the input->Vaidates the input:Error message,Enter Victim Data,10,6,3,0,0
74,stl#Transport Coordinator:"add victim" button->Transport Coordinator:"add victim" button->"add victim" button:Redirects to the "is he breathing" page->Redirects to the "is he breathing" page:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page->Respiration/perfusion/metal status page:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:Vaidates the input->Vaidates the input:add new victim record to db->add new victim record to db:Vlunteer Diaster Homepage,Enter Victim Data,11,5,5,0,0
75,stl#Transport Coordinator:"add victim" button->Transport Coordinator:"add victim" button->"add victim" button:Redirects to the "is he breathing" page->Redirects to the "is he breathing" page:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page->Respiration/perfusion/metal status page:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:Vaidates the input->Vaidates the input:add new victim record to db->add new victim record to db:volunteer homepage,Enter Victim Data,11,5,5,0,0
76,stl#Transport Coordinator:"add victim" button->Transport Coordinator:"add victim" button->"add victim" button:Redirects to the "is he breathing" page->Redirects to the "is he breathing" page:"is he breathing" page->"is he breathing" page:Redirects to respiration/perfusion/metal status page->Redirects to respiration/perfusion/metal status page:Respiration/perfusion/metal status page->Respiration/perfusion/metal status page:Categorizes the victim->Categorizes the victim:Redirects to category's page->Redirects to category's page:Vaidates the input->Vaidates the input:add new victim record to db->add new victim record to db:db,Enter Victim Data,11,5,4,1,0
