id,element,useCase,type,component
1,User:confirmation info shown,update website,entity,invitationlink
2,User:Survey link page,update website,control,surveyinfodb
3,User:information not saved message,update website,boundary,successmessage
4,Survey link page:save information into database,update website,entity,invitationlink
5,redirect to survey page:Survey link page,update website,control,surveyinfodb
6,save information into database:confirmation info shown,update website,entity,invitationlink
7,information not saved message:redirect to survey page,update website,control,surveyinfodb
8,save information into database:information not saved message,update website,boundary,successmessage
9,save information into database:survey info db,update website,control,surveyinfodb
10,stl#User:confirmation info shown,update website,Stimulus,undefined
11,stl#User:Survey link page,update website,Stimulus,undefined
12,stl#User:information not saved message,update website,Stimulus,undefined
