id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#guests:Requirements page->guests:Requirements page->Requirements page:Save invitation design->Save invitation design:success message,Changing wedding details dynamically,4,2,0,1,0
2,stl#guests:Requirements page->guests:Requirements page->Requirements page:Save invitation design->Save invitation design:invitation design info,Changing wedding details dynamically,4,1,0,2,0
3,stl#guests:Requirements page->guests:Requirements page->Requirements page:Save invitation design->Save invitation design:empty list message,Changing wedding details dynamically,4,2,0,1,0
4,stl#guests:empty list message->guests:empty list message,Changing wedding details dynamically,2,0,1,0,0
5,stl#guests:success message->guests:success message,Changing wedding details dynamically,2,1,0,0,0
6,stl#guests:invitation link->guests:invitation link,Create account,2,0,0,1,0
7,stl#guests:registration form->guests:registration form->registration form:validate form->validate form:account already exists message,Create account,4,3,0,0,0
8,stl#guests:registration form->guests:registration form->registration form:validate form->validate form:background info,Create account,4,2,0,1,0
9,stl#guests:registration form->guests:registration form->registration form:validate form->validate form:send registration link to user->send registration link to user:invitation link,Create account,5,2,0,2,0
10,stl#guests:registration form->guests:registration form->registration form:validate form->validate form:validate form fail message->validate form fail message:redirect to form page->redirect to form page:Positions and content info,Create account,6,5,0,0,0
11,stl#guests:registration form->guests:registration form->registration form:validate form->validate form:validate form fail message->validate form fail message:redirect to form page->redirect to form page:registration form->registration form:validate form,Create account,7,6,0,0,0
12,stl#guests:validate form fail message->guests:validate form fail message->validate form fail message:redirect to form page->redirect to form page:Positions and content info,Create account,4,3,0,0,0
13,stl#guests:validate form fail message->guests:validate form fail message->validate form fail message:redirect to form page->redirect to form page:registration form->registration form:validate form->validate form:account already exists message,Create account,6,5,0,0,0
14,stl#guests:validate form fail message->guests:validate form fail message->validate form fail message:redirect to form page->redirect to form page:registration form->registration form:validate form->validate form:background info,Create account,6,4,0,1,0
15,stl#guests:validate form fail message->guests:validate form fail message->validate form fail message:redirect to form page->redirect to form page:registration form->registration form:validate form->validate form:send registration link to user->send registration link to user:invitation link,Create account,7,4,0,2,0
16,stl#guests:validate form fail message->guests:validate form fail message->validate form fail message:redirect to form page->redirect to form page:registration form->registration form:validate form->validate form:validate form fail message->validate form fail message:redirect to form page,Create account,7,6,0,0,0
17,stl#guests:account already exists message->guests:account already exists message,Create account,2,1,0,0,0
18,stl#guests:save design detail into db success message->guests:save design detail into db success message,Create account,2,1,0,0,0
19,stl#guests:save info success message->guests:save info success message,Design invitation card,2,1,0,0,0
20,stl#guests:invitation design page->guests:invitation design page->invitation design page:Save all poisitions and cotnent->Save all poisitions and cotnent:Positions and content info,Design invitation card,4,2,0,1,0
21,stl#guests:invitation design page->guests:invitation design page->invitation design page:Save all poisitions and cotnent->Save all poisitions and cotnent:save design detail into db success message,Design invitation card,4,2,0,1,0
22,stl#guests:selects invitation background page->guests:selects invitation background page->selects invitation background page:save background into db->save background into db:background info,Design invitation card,4,0,1,2,0
23,stl#guests:selects invitation background page->guests:selects invitation background page->selects invitation background page:save background into db->save background into db:redirect to invitation design page->redirect to invitation design page:invitation design page->invitation design page:Save all poisitions and cotnent->Save all poisitions and cotnent:Positions and content info,Design invitation card,7,2,1,3,0
24,stl#guests:selects invitation background page->guests:selects invitation background page->selects invitation background page:save background into db->save background into db:redirect to invitation design page->redirect to invitation design page:invitation design page->invitation design page:Save all poisitions and cotnent->Save all poisitions and cotnent:save design detail into db success message,Design invitation card,7,2,1,3,0
25,stl#guests:selects invitation background page->guests:selects invitation background page->selects invitation background page:save background into db->save background into db:save info success message,Design invitation card,4,1,1,1,0
26,stl#guests:save design detail into db success message->guests:save design detail into db success message,Design invitation card,2,1,0,0,0
27,stl#User:Error message for wrong credentials->User:Error message for wrong credentials,Disallow user to login for wrong credentials,2,1,0,0,0
28,stl#User:enter credentials page->User:enter credentials page->enter credentials page:check credentials->check credentials:Error message for wrong credentials,Disallow user to login for wrong credentials,4,3,0,0,0
29,stl#User:enter credentials page->User:enter credentials page->enter credentials page:check credentials->check credentials:redirect to login screen->redirect to login screen:enter credentials page->enter credentials page:check credentials,Disallow user to login for wrong credentials,6,5,0,0,0
30,stl#User:enter credentials page->User:enter credentials page->enter credentials page:check credentials->check credentials:credential info,Disallow user to login for wrong credentials,4,3,0,0,0
31,stl#User:Login screen->User:Login screen,Disallow user to login for wrong credentials,2,1,0,0,0
32,stl#User:enter credentials page->User:enter credentials page->enter credentials page:check credentials->check credentials:confirmation page->confirmation page:redirect to home screen->redirect to home screen:home screen,Login,6,4,0,1,0
33,stl#User:enter credentials page->User:enter credentials page->enter credentials page:check credentials->check credentials:redirect to login screen->redirect to login screen:enter credentials page->enter credentials page:check credentials,Login,6,5,0,0,0
34,stl#User:enter credentials page->User:enter credentials page->enter credentials page:check credentials->check credentials:credential info,Login,4,3,0,0,0
35,stl#User:confirmation page->User:confirmation page->confirmation page:redirect to home screen->redirect to home screen:home screen,Login,4,2,0,1,0
36,stl#User:home screen->User:home screen,Login,2,1,0,0,0
37,stl#guests:send invites button->guests:send invites button->send invites button:send emails with invitation links->send emails with invitation links:error messageno invites send messaage->error messageno invites send messaage:redirect to invitation page->redirect to invitation page:invitation page,Send E-invitations to guest,6,1,0,4,0
38,stl#guests:send invites button->guests:send invites button->send invites button:send emails with invitation links->send emails with invitation links:invitation link info,Send E-invitations to guest,4,0,0,3,0
39,stl#guests:send invites button->guests:send invites button->send invites button:send emails with invitation links->send emails with invitation links:invitation send success message,Send E-invitations to guest,4,1,0,2,0
40,stl#guests:invitation send success message->guests:invitation send success message,Send E-invitations to guest,2,1,0,0,0
41,stl#guests:error messageno invites send messaage->guests:error messageno invites send messaage->error messageno invites send messaage:redirect to invitation page->redirect to invitation page:invitation page,Send E-invitations to guest,4,1,0,2,0
42,stl#guests:invitation page->guests:invitation page,Send E-invitations to guest,2,0,0,1,0
43,stl#guests:survey form page->guests:survey form page->survey form page:save survey info to db->save survey info to db:confirmation message,Take the survey,4,1,2,0,0
44,stl#guests:survey form page->guests:survey form page->survey form page:save survey info to db->save survey info to db:delete error message->delete error message:redirect to survey form page->redirect to survey form page:survey form page->survey form page:save survey info to db,Take the survey,7,1,5,0,0
45,stl#guests:survey form page->guests:survey form page->survey form page:save survey info to db->save survey info to db:survey info db,Take the survey,4,0,3,0,0
46,stl#guests:confirmation message->guests:confirmation message,Take the survey,2,1,0,0,0
47,stl#guests:delete error message->guests:delete error message->delete error message:redirect to survey form page->redirect to survey form page:survey form page->survey form page:save survey info to db->save survey info to db:confirmation message,Take the survey,6,2,3,0,0
48,stl#guests:delete error message->guests:delete error message->delete error message:redirect to survey form page->redirect to survey form page:survey form page->survey form page:save survey info to db->save survey info to db:delete error message->delete error message:redirect to survey form page,Take the survey,7,2,4,0,0
49,stl#guests:delete error message->guests:delete error message->delete error message:redirect to survey form page->redirect to survey form page:survey form page->survey form page:save survey info to db->save survey info to db:survey info db,Take the survey,6,1,4,0,0
50,stl#User:credentials page->User:credentials page->credentials page:check credentials->check credentials:Error message for wrong credentials,Validate User Credentials,4,3,0,0,0
51,stl#User:credentials page->User:credentials page->credentials page:check credentials->check credentials:redirect to login screen->redirect to login screen:credentials page->credentials page:check credentials,Validate User Credentials,6,5,0,0,0
52,stl#User:credentials page->User:credentials page->credentials page:check credentials->check credentials:credential info,Validate User Credentials,4,3,0,0,0
53,stl#User:Error message for wrong credentials->User:Error message for wrong credentials,Validate User Credentials,2,1,0,0,0
54,stl#guests:guest list page->guests:guest list page->guest list page:delete the list->delete the list:confirmation message,delete guest list,4,1,2,0,0
55,stl#guests:guest list page->guests:guest list page->guest list page:delete the list->delete the list:delete error message,delete guest list,4,1,2,0,0
56,stl#guests:guest list page->guests:guest list page->guest list page:delete the list->delete the list:guest info,delete guest list,4,0,3,0,0
57,stl#guests:confirmation message->guests:confirmation message,delete guest list,2,1,0,0,0
58,stl#guests:delete error message->guests:delete error message,delete guest list,2,1,0,0,0
59,stl#guests:RSVP link->guests:RSVP link->RSVP link:Redirect to RSVP form page->Redirect to RSVP form page:RSVP form page,reply to invitation,4,0,3,0,0
60,stl#guests:RSVP link->guests:RSVP link->RSVP link:Redirect to RSVP form page->Redirect to RSVP form page:Save RSVP into db->Save RSVP into db:error message,reply to invitation,5,2,2,0,0
61,stl#guests:RSVP link->guests:RSVP link->RSVP link:Redirect to RSVP form page->Redirect to RSVP form page:Save RSVP into db->Save RSVP into db:invitation info,reply to invitation,5,1,2,1,0
62,stl#guests:error message->guests:error message,reply to invitation,2,1,0,0,0
63,stl#guests:RSVP form page->guests:RSVP form page,reply to invitation,2,0,1,0,0
64,stl#User:confirmation info shown->User:confirmation info shown,update website,2,0,0,1,0
65,stl#User:Survey link page->User:Survey link page->Survey link page:save information into database->save information into database:confirmation info shown,update website,4,0,1,2,0
66,stl#User:Survey link page->User:Survey link page->Survey link page:save information into database->save information into database:information not saved message->information not saved message:redirect to survey page->redirect to survey page:Survey link page->Survey link page:save information into database,update website,7,1,3,2,0
67,stl#User:Survey link page->User:Survey link page->Survey link page:save information into database->save information into database:survey info db,update website,4,0,2,1,0
68,stl#User:information not saved message->User:information not saved message->information not saved message:redirect to survey page->redirect to survey page:Survey link page->Survey link page:save information into database->save information into database:confirmation info shown,update website,6,1,2,2,0
69,stl#User:information not saved message->User:information not saved message->information not saved message:redirect to survey page->redirect to survey page:Survey link page->Survey link page:save information into database->save information into database:information not saved message->information not saved message:redirect to survey page,update website,7,2,3,1,0
70,stl#User:information not saved message->User:information not saved message->information not saved message:redirect to survey page->redirect to survey page:Survey link page->Survey link page:save information into database->save information into database:survey info db,update website,6,1,3,1,0
71,stl#User:Save confirmation message->User:Save confirmation message,upload list of guests,2,1,0,0,0
72,stl#User:Error message->User:Error message->Error message:redirect to invitation page->redirect to invitation page:invitation page,upload list of guests,4,1,0,2,0
73,stl#User:invitation page->User:invitation page,upload list of guests,2,0,0,1,0
74,stl#User:downloadable template page for filling data->User:downloadable template page for filling data->downloadable template page for filling data:parse uploaded file->parse uploaded file:save file into db->save file into db:Error message->Error message:redirect to invitation page->redirect to invitation page:invitation page,upload list of guests,7,2,1,3,0
75,stl#User:downloadable template page for filling data->User:downloadable template page for filling data->downloadable template page for filling data:parse uploaded file->parse uploaded file:save file into db->save file into db:Save confirmation message,upload list of guests,5,2,1,1,0
76,stl#User:downloadable template page for filling data->User:downloadable template page for filling data->downloadable template page for filling data:parse uploaded file->parse uploaded file:save file into db->save file into db:file db,upload list of guests,5,1,2,1,0
77,stl#guests:guest list page->guests:guest list page->guest list page:query guest list->query guest list:empty list message->empty list message:redirect to survey form page,view guest list,5,1,3,0,0
78,stl#guests:guest list page->guests:guest list page->guest list page:query guest list->query guest list:guest list,view guest list,4,0,3,0,0
79,stl#guests:guest list page->guests:guest list page->guest list page:query guest list->query guest list:guest list info,view guest list,4,0,3,0,0
80,stl#guests:empty list message->guests:empty list message->empty list message:redirect to survey form page,view guest list,3,1,1,0,0
81,stl#guests:guest list->guests:guest list,view guest list,2,0,1,0,0
82,stl#guests:error message->guests:error message,view invitation,2,1,0,0,0
83,stl#guests:Invitation link->guests:Invitation link->Invitation link:Redirect to couple's website with event details and RSVP form->Redirect to couple's website with event details and RSVP form:error message,view invitation,4,1,1,1,0
84,stl#guests:Invitation link->guests:Invitation link->Invitation link:Redirect to couple's website with event details and RSVP form->Redirect to couple's website with event details and RSVP form:invitation link info,view invitation,4,0,1,2,0
85,stl#guests:Invitation link->guests:Invitation link->Invitation link:Redirect to couple's website with event details and RSVP form->Redirect to couple's website with event details and RSVP form:event details and RSVP,view invitation,4,1,1,1,0
