id,element,useCase,type,component
1,User:no  matches message,search spheres,boundary,buildsalistofmatches
2,User:list of matches,search spheres,boundary,buildsalistofmatches
3,User:search page,search spheres,boundary,ManageAccountView
4,Display success information message:no  matches message,search spheres,boundary,buildsalistofmatches
5,display no metchs message:Display success information message,search spheres,control,Displaysuccessmessagetouser
6,builds a list of matches:list of matches,search spheres,boundary,buildsalistofmatches
7,search sphere title or owner fro db:builds a list of matches,search spheres,boundary,buildsalistofmatches
8,display no metchs message:no  matches message,search spheres,boundary,buildsalistofmatches
9,search sphere title or owner fro db:display no metchs message,search spheres,control,Displaysuccessmessagetouser
10,search page:search sphere title or owner fro db,search spheres,boundary,EditSphereView
11,search sphere title or owner fro db:sphere,search spheres,entity,SphereModel
12,stl#User:no  matches message,search spheres,Stimulus,undefined
13,stl#User:list of matches,search spheres,Stimulus,undefined
14,stl#User:search page,search spheres,Stimulus,undefined
