id,element,useCase,type,component
1,User:success message to user,assign permissions,entity,UserModel
2,User:Share button,assign permissions,boundary,Sharebutton
3,User:List of users with their permissions,assign permissions,entity,UserModel
4,Display success message to user:success message to user,assign permissions,entity,UserModel
5,compute average of a given subset of user:Display success message to user,assign permissions,control,Displaysuccessmessagetouser
6,Updates DB with new permission info:Display success message to user,assign permissions,control,Displaysuccessmessagetouser
7,remove permission in database:Display success message to user,assign permissions,control,Displaysuccessmessagetouser
8,List of users with their permissions:compute average of a given subset of user,assign permissions,control,Displaysuccessmessagetouser
9,List of users with their permissions:remove permission in database,assign permissions,control,DatabaseAdapter
10,List of users with their permissions:Updates DB with new permission info,assign permissions,control,CreateSphereView
11,display a list of users with their permission:List of users with their permissions,assign permissions,entity,UserModel
12,Share button:display a list of users with their permission,assign permissions,control,Displaysuccessmessagetouser
13,display a list of users with their permission:User,assign permissions,entity,UserModel
14,remove permission in database:db,assign permissions,entity,db
15,stl#User:success message to user,assign permissions,Stimulus,undefined
16,stl#User:Share button,assign permissions,Stimulus,undefined
17,stl#User:List of users with their permissions,assign permissions,Stimulus,undefined
