id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,2dView,0,0,257,0,0,1
2,3dView,0,0,0,0,0,0
3,AnswerView,0,0,0,0,0,0
4,AppView,0,0,0,0,0,0
5,AuthorizationChecker,0,0,0,0,0,0
6,CategoryModel,0,0,0,0,0,0
7,CreateFormTemplateView,0,0,0,0,0,1
8,CreateSphereView,1,1,2,0,1,0
9,DataValidator,0,0,0,0,0,0
10,DatabaseAdapter,0,0,0,0,0,0
11,EditSphereView,0,0,0,0,0,0
12,EmailSender,0,0,0,0,0,0
13,ForgotPasswordView,0,0,0,0,0,0
14,HomeView,0,0,0,0,0,0
15,LoginView,1,1,2,0,1,0
16,ManageAccountView,0,0,0,0,0,0
17,NavView,0,0,0,0,0,0
18,OpenSphereView,0,0,0,0,0,0
19,QuestionModel,0,0,0,0,0,0
20,RegisterView,0,0,0,0,0,1
21,RestApi,0,0,0,0,0,0
22,Router,0,0,0,0,0,0
23,SphereModel,0,0,0,0,0,0
24,UserModel,0,0,0,0,0,0
25,VizualizationView,1,1,259,0,1,0
26,main,0,0,0,0,0,0
27,$help://actor.htm,0,0,0,0,0,0
28,$help://usecasediagram.htm,0,0,0,0,0,0
29,$help://use_case_model_pattern.htm,0,0,0,0,0,0
30,System Boundary,0,0,0,0,0,0
31,buildsalistofmatches,0,0,0,0,0,0
32,Sharebutton,0,0,0,0,0,0
33,Displaysuccessmessagetouser,0,0,0,0,0,0
