id,element,useCase,type,component
1,user:display role changed message,View Activity Report,boundary,declinemessage
2,user:Reservation report,View Activity Report,boundary,Reservation
3,user:"View Report" button,View Activity Report,boundary,Loginbutton
4,"View Report" button:Display A reservation report of selected time period,View Activity Report,boundary,Reservation
5,Display A reservation report of selected time period:Reservation Records,View Activity Report,boundary,Reservation
6,Display A reservation report of selected time period:Reservation report,View Activity Report,boundary,Reservation
7,edit role:Reservation Records,View Activity Report,boundary,Reservation
8,Reservation report:edit role,View Activity Report,control,SCController
9,edit role:display role changed message,View Activity Report,boundary,declinemessage
10,stl#user:display role changed message,View Activity Report,Stimulus,undefined
11,stl#user:Reservation report,View Activity Report,Stimulus,undefined
12,stl#user:"View Report" button,View Activity Report,Stimulus,undefined
