id,element,useCase,type,component
1,user:role edition page,Mofiy User Role,boundary,ReservationController
2,user:display role changed message,Mofiy User Role,boundary,PaymentController
3,user:Add new role button,Mofiy User Role,boundary,Loginbutton
4,Add new role button:display role edition page,Mofiy User Role,boundary,PaymentController
5,edit role:Role info,Mofiy User Role,control,SCController
6,edit role:display role changed message,Mofiy User Role,boundary,PaymentController
7,display role edition page:role edition page,Mofiy User Role,boundary,ReservationController
8,role edition page:edit role,Mofiy User Role,control,SCController
9,stl#user:role edition page,Mofiy User Role,Stimulus,undefined
10,stl#user:display role changed message,Mofiy User Role,Stimulus,undefined
11,stl#user:Add new role button,Mofiy User Role,Stimulus,undefined
