id,element,useCase,type,component
1,user:Invalid user information,Update Profie,boundary,Reservation
2,user:Profile info page,Update Profie,boundary,declinemessage
3,user:success message,Update Profie,boundary,declinemessage
4,user:Profile Button,Update Profie,boundary,Loginbutton
5,Display the profile info:profile info,Update Profie,entity,requiredfieldsmissingprompt
6,Display the profile info:Profile info page,Update Profie,boundary,declinemessage
7,Profile Button:Display the profile info,Update Profie,entity,requiredfieldsmissingprompt
8,Validate information input:Invalid user information,Update Profie,boundary,Reservation
9,Notify the user that profile has been updated:User notification,Update Profie,boundary,Reservation
10,Notify the user that profile has been updated:success message,Update Profie,boundary,declinemessage
11,Validate information input:Notify the user that profile has been updated,Update Profie,boundary,ReservationController
12,Profile info page:disable the user's privilege to login,Update Profie,boundary,Loginbutton
13,Profile info page:Validate information input,Update Profie,boundary,Reservation
14,Validate information input:profile info,Update Profie,entity,requiredfieldsmissingprompt
15,Validate information input:profile info,Update Profie,entity,requiredfieldsmissingprompt
16,stl#user:Invalid user information,Update Profie,Stimulus,undefined
17,stl#user:Profile info page,Update Profie,Stimulus,undefined
18,stl#user:success message,Update Profie,Stimulus,undefined
19,stl#user:Profile Button,Update Profie,Stimulus,undefined
