id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#user:View Profile Button->user:View Profile Button,View Profile,2,1,0,0,0
2,stl#user:personal home page->user:personal home page,View Profile,2,1,0,0,0
3,stl#user:Invalid user information->user:Invalid user information,View Profile,2,1,0,0,0
4,stl#user:User profile->user:User profile->User profile:disable the user's privilege to login->disable the user's privilege to login:display user profile to user->display user profile to user:User profile->User profile:Validate username and password->Validate username and password:Invalid user information,View Profile,7,4,1,1,0
5,stl#user:User profile->user:User profile->User profile:disable the user's privilege to login->disable the user's privilege to login:display user profile to user->display user profile to user:User profile->User profile:Validate username and password->Validate username and password:User Info,View Profile,7,4,1,1,0
6,stl#user:User profile->user:User profile->User profile:disable the user's privilege to login->disable the user's privilege to login:display user profile to user->display user profile to user:User profile->User profile:Validate username and password->Validate username and password:redirect the user to their personal home page->redirect the user to their personal home page:personal home page,View Profile,8,4,2,1,0
7,stl#user:User profile->user:User profile->User profile:disable the user's privilege to login->disable the user's privilege to login:display user profile to user->display user profile to user:User profile->User profile:disable the user's privilege to login,View Profile,6,4,0,1,0
8,stl#user:User profile->user:User profile->User profile:disable the user's privilege to login->disable the user's privilege to login:display user profile to user->display user profile to user:View Profile Button,View Profile,5,3,0,1,0
9,stl#user:User profile->user:User profile->User profile:disable the user's privilege to login->disable the user's privilege to login:display user profile to user->display user profile to user:use profile info,View Profile,5,2,0,2,0
10,stl#user:User profile->user:User profile->User profile:Validate username and password->Validate username and password:Invalid user information,View Profile,4,2,1,0,0
11,stl#user:User profile->user:User profile->User profile:Validate username and password->Validate username and password:User Info,View Profile,4,2,1,0,0
12,stl#user:User profile->user:User profile->User profile:Validate username and password->Validate username and password:redirect the user to their personal home page->redirect the user to their personal home page:personal home page,View Profile,5,2,2,0,0
