id,element,useCase,type,component
1,Student:genealogy statistics,Hide info,boundary,Statistics
2,Student:error message for not statistics,Hide info,boundary,Statistics
3,Student:video frame,Hide info,boundary,videoframe
4,Student:Hide info button,Hide info,boundary,Hideinfobutton
5,Hide info button:hide the genealogy and statistics frames,Hide info,boundary,Statistics
6,calculate genealogy statisticss:error message for not statistics,Hide info,boundary,Statistics
7,calculate genealogy statisticss:genealogy statistics,Hide info,boundary,Statistics
8,hide the genealogy and statistics frames:calculate genealogy statisticss,Hide info,boundary,Statistics
9,circle identification in video:video frame,Hide info,boundary,videoframe
10,hide the genealogy and statistics frames:circle identification in video,Hide info,boundary,Statistics
11,hide the genealogy and statistics frames:genealogy statistics,Hide info,boundary,Statistics
12,hide the genealogy and statistics frames:video frame,Hide info,boundary,videoframe
13,stl#Student:genealogy statistics,Hide info,Stimulus,undefined
14,stl#Student:error message for not statistics,Hide info,Stimulus,undefined
15,stl#Student:video frame,Hide info,Stimulus,undefined
16,stl#Student:Hide info button,Hide info,Stimulus,undefined
