id,element,useCase,type,component
1,User:Account create page,Create a new account,entity,System Boundary
2,User:invalid input information,Create a new account,boundary,User social media information
3,User:user profile page,Create a new account,boundary,email message requesting referral
4,Account create page:validate input information,Create a new account,boundary,User social media information
5,save user account:account,Create a new account,entity,System Boundary
6,validate input information:invalid input information,Create a new account,boundary,User social media information
7,save user account:user profile page,Create a new account,boundary,email message requesting referral
8,validate input information:save user account,Create a new account,boundary,savedSearch
9,stl#User:Account create page,Create a new account,Stimulus,undefined
10,stl#User:invalid input information,Create a new account,Stimulus,undefined
11,stl#User:user profile page,Create a new account,Stimulus,undefined
12,User:saved unsuccessfully message,Email subscription,boundary,email message requesting referral
13,User:subscribe for notification button,Email subscription,actor,Email Subscription Preference
14,User:invalid email address message,Email subscription,boundary,email message requesting referral
15,save preferences for subscription:account,Email subscription,entity,System Boundary
16,save preferences for subscription:invalid email address message,Email subscription,boundary,email message requesting referral
17,save preferences for subscription:saved unsuccessfully message,Email subscription,boundary,email message requesting referral
18,subscribe for notification button:save preferences for subscription,Email subscription,actor,Email Subscription Preference
19,stl#User:saved unsuccessfully message,Email subscription,Stimulus,undefined
20,stl#User:subscribe for notification button,Email subscription,Stimulus,undefined
21,stl#User:invalid email address message,Email subscription,Stimulus,undefined
22,User:user profile and search page,Login,boundary,savedSearch
23,User:Login page,Login,boundary,Loginpage
24,User:incorrect user information,Login,boundary,User social media information
25,Login page:validate user information,Login,boundary,User social media information
26,validate user information:account,Login,entity,System Boundary
27,save user account:account,Login,entity,System Boundary
28,save user account:incorrect user information,Login,boundary,User social media information
29,validate user information:incorrect user information,Login,boundary,User social media information
30,validate user information:save user account,Login,boundary,savedSearch
31,validate user information:user profile and search page,Login,boundary,savedSearch
32,stl#User:user profile and search page,Login,Stimulus,undefined
33,stl#User:Login page,Login,Stimulus,undefined
34,stl#User:incorrect user information,Login,Stimulus,undefined
35,User:Profile Edit Page,Loginout,entity,Editprofilebutton
36,User:Edit profile button,Loginout,entity,Editprofilebutton
37,User:incorrect user information,Loginout,boundary,User social media information
38,User:Invalid input data,Loginout,control,linkin data
39,Edit profile button:display edit profile page,Loginout,entity,Editprofilebutton
40,save updated profile:Profile,Loginout,entity,Editprofilebutton
41,display edit profile page:Profile,Loginout,entity,Editprofilebutton
42,Profile Edit Page:validate input data,Loginout,control,linkin data
43,display edit profile page:Profile Edit Page,Loginout,entity,Editprofilebutton
44,display edit profile page:incorrect user information,Loginout,boundary,User social media information
45,validate input data:save updated profile,Loginout,entity,Editprofilebutton
46,stl#User:Profile Edit Page,Loginout,Stimulus,undefined
47,stl#User:Edit profile button,Loginout,Stimulus,undefined
48,stl#User:incorrect user information,Loginout,Stimulus,undefined
49,stl#User:Invalid input data,Loginout,Stimulus,undefined
50,User:Save Favorite Job Button,Mark favorite jobs,control,Favorite Job
51,User:saved successfully message,Mark favorite jobs,boundary,email message requesting referral
52,User:saved unsuccessfully message,Mark favorite jobs,boundary,email message requesting referral
53,User:search saved unsuccessfully error message,Mark favorite jobs,boundary,savedSearch
54,Save favorite jobs:Favorite Jobs,Mark favorite jobs,control,Favorite Job
55,Save Favorite Job Button:Save favorite jobs,Mark favorite jobs,control,Favorite Job
56,Save favorite jobs:saved unsuccessfully message,Mark favorite jobs,boundary,email message requesting referral
57,Save favorite jobs:search saved unsuccessfully error message,Mark favorite jobs,boundary,savedSearch
58,Save favorite jobs:saved successfully message,Mark favorite jobs,boundary,email message requesting referral
59,stl#User:Save Favorite Job Button,Mark favorite jobs,Stimulus,undefined
60,stl#User:saved successfully message,Mark favorite jobs,Stimulus,undefined
61,stl#User:saved unsuccessfully message,Mark favorite jobs,Stimulus,undefined
62,stl#User:search saved unsuccessfully error message,Mark favorite jobs,Stimulus,undefined
63,User:search saved successfully message,Save search results,boundary,savedSearch
64,User:search saved unsuccessfully error message,Save search results,boundary,savedSearch
65,User:Save search button,Save search results,boundary,savedSearch
66,User:Invalid input data,Save search results,control,linkin data
67,validate input data:Invalid input data,Save search results,control,linkin data
68,Save search button:save filters and criteria,Save search results,control,Favorite Job
69,save filters and criteria:search saved successfully message,Save search results,boundary,savedSearch
70,save filters and criteria:search result,Save search results,entity,search result
71,save filters and criteria:search saved unsuccessfully error message,Save search results,boundary,savedSearch
72,save updated profile:search result,Save search results,entity,search result
73,validate input data:save updated profile,Save search results,entity,Editprofilebutton
