id,element,useCase,type,component
1,User:invalid input warning message,Send Message,control,Message
2,User:Message edit page,Send Message,control,Message
3,User:New message button,Send Message,control,Message
4,User:Message page,Send Message,control,Message
5,retrive connections of a user:Connection,Send Message,boundary,Connection
6,Message edit page:close new message page,Send Message,control,Message
7,Message edit page:check input message,Send Message,control,Message
8,retrive connections of a user:Message edit page,Send Message,control,Message
9,close new message page:Message page,Send Message,control,Message
10,redirect to message page:Message page,Send Message,control,Message
11,New message button:display new message page,Send Message,control,Message
12,check input message:invalid input warning message,Send Message,control,Message
13,check input message:send message,Send Message,control,Message
14,display new message page:retrive connections of a user,Send Message,boundary,Connection
15,send message:message,Send Message,control,Message
16,send message:redirect to message page,Send Message,control,Message
17,stl#User:invalid input warning message,Send Message,Stimulus,undefined
18,stl#User:Message edit page,Send Message,Stimulus,undefined
19,stl#User:New message button,Send Message,Stimulus,undefined
20,stl#User:Message page,Send Message,Stimulus,undefined
