id,element,useCase,type,component
1,User:invalid search string,Advanced Search Functionality,actor,SearchEngine
2,User:No matched results,Advanced Search Functionality,entity,SearchResult
3,User:empty list of search results,Advanced Search Functionality,entity,SearchResult
4,User:advanced search page,Advanced Search Functionality,control,CompanySearch
5,User:Matched results,Advanced Search Functionality,entity,SearchResult
6,User:advanced search button,Advanced Search Functionality,control,CompanySearch
7,SQl injection protection:Matched results,Advanced Search Functionality,entity,SearchResult
8,SQl injection protection:No matched results,Advanced Search Functionality,entity,SearchResult
9,SQl injection protection:empty list of search results,Advanced Search Functionality,entity,SearchResult
10,SQl injection protection:group,Advanced Search Functionality,entity,Group
11,SQl injection protection:company,Advanced Search Functionality,entity,Company
12,SQl injection protection:people,Advanced Search Functionality,entity,people
13,SQl injection protection:sql injection protection,Advanced Search Functionality,boundary,Connection
14,search people company group by options:SQl injection protection,Advanced Search Functionality,boundary,Connection
15,advanced search button:redirected to advanced search page,Advanced Search Functionality,control,CompanySearch
16,advanced search page:check validity of search string,Advanced Search Functionality,control,IndividualSearch
17,redirected to advanced search page:advanced search page,Advanced Search Functionality,control,CompanySearch
18,check validity of search string:search people company group by options,Advanced Search Functionality,control,CompanySearch
19,check validity of search string:invalid search string,Advanced Search Functionality,actor,SearchEngine
20,sql injection protection:check validity of search string,Advanced Search Functionality,control,IndividualSearch
21,stl#User:invalid search string,Advanced Search Functionality,Stimulus,undefined
22,stl#User:No matched results,Advanced Search Functionality,Stimulus,undefined
23,stl#User:empty list of search results,Advanced Search Functionality,Stimulus,undefined
24,stl#User:advanced search page,Advanced Search Functionality,Stimulus,undefined
25,stl#User:Matched results,Advanced Search Functionality,Stimulus,undefined
26,stl#User:advanced search button,Advanced Search Functionality,Stimulus,undefined
