id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#User:Add favorite screen->User:Add favorite screen->Add favorite screen:query list of switchs->query list of switchs:Switch,Add favorite screen,4,2,1,0,0
2,stl#User:Add favorite screen->User:Add favorite screen->Add favorite screen:query list of switchs->query list of switchs:list of switch->list of switch:add switch to favoriate->add switch to favoriate:Display error message when adding to favorite->Display error message when adding to favorite:Error message when updating,Add favorite screen,7,2,4,0,0
3,stl#User:Add favorite screen->User:Add favorite screen->Add favorite screen:query list of switchs->query list of switchs:list of switch->list of switch:add switch to favoriate->add switch to favoriate:Favoriate,Add favorite screen,6,2,3,0,0
4,stl#User:Error message when updating->User:Error message when updating,Add favorite screen,2,0,1,0,0
5,stl#User:list of switch->User:list of switch->list of switch:add switch to favoriate->add switch to favoriate:Display error message when adding to favorite->Display error message when adding to favorite:Error message when updating,Add favorite screen,5,1,3,0,0
6,stl#User:list of switch->User:list of switch->list of switch:add switch to favoriate->add switch to favoriate:Favoriate,Add favorite screen,4,1,2,0,0
7,stl#User:Error message when saving image->User:Error message when saving image,Add image for switch,2,0,1,0,0
8,stl#User:add image for switch page->User:add image for switch page->add image for switch page:save image in db->save image in db:Error message when saving image,Add image for switch,4,0,3,0,0
9,stl#User:add image for switch page->User:add image for switch page->add image for switch page:save image in db->save image in db:Image,Add image for switch,4,0,3,0,0
10,stl#User:gateway name edit page->User:gateway name edit page->gateway name edit page:save gateway name to DB->save gateway name to DB:display error message->display error message:Error message when saving name,Assign gateways names,5,0,4,0,0
11,stl#User:gateway name edit page->User:gateway name edit page->gateway name edit page:save gateway name to DB->save gateway name to DB:gateway,Assign gateways names,4,0,3,0,0
12,stl#User:Error message when saving name->User:Error message when saving name,Assign gateways names,2,0,1,0,0
13,stl#User:list of gateway->User:list of gateway->list of gateway:popup gateway name edit page->popup gateway name edit page:gateway,Assign gateways names,4,0,3,0,0
14,stl#User:list of gateway->User:list of gateway->list of gateway:popup gateway name edit page->popup gateway name edit page:gateway name edit page->gateway name edit page:save gateway name to DB->save gateway name to DB:display error message->display error message:Error message when saving name,Assign gateways names,7,0,6,0,0
15,stl#User:list of gateway->User:list of gateway->list of gateway:popup gateway name edit page->popup gateway name edit page:gateway name edit page->gateway name edit page:save gateway name to DB->save gateway name to DB:gateway,Assign gateways names,6,0,5,0,0
16,stl#User:List of gateways->User:List of gateways->List of gateways:delete confirm dialog->delete confirm dialog:gateways,Delete gateway,4,0,0,3,0
17,stl#User:List of gateways->User:List of gateways->List of gateways:delete confirm dialog->delete confirm dialog:delete gateway confirm dialog->delete gateway confirm dialog:delete gateway from db->delete gateway from db:Display error message when deleting,Delete gateway,6,0,1,4,0
18,stl#User:List of gateways->User:List of gateways->List of gateways:delete confirm dialog->delete confirm dialog:delete gateway confirm dialog->delete gateway confirm dialog:delete gateway from db->delete gateway from db:gateways,Delete gateway,6,0,0,5,0
19,stl#User:Error when deleting gateway->User:Error when deleting gateway->Error when deleting gateway:Display error message when deleting,Delete gateway,3,0,2,0,0
20,stl#User:delete gateway confirm dialog->User:delete gateway confirm dialog->delete gateway confirm dialog:delete gateway from db->delete gateway from db:Display error message when deleting,Delete gateway,4,0,1,2,0
21,stl#User:delete gateway confirm dialog->User:delete gateway confirm dialog->delete gateway confirm dialog:delete gateway from db->delete gateway from db:gateways,Delete gateway,4,0,0,3,0
22,stl#User:List of switches->User:List of switches->List of switches:update list of switch->update list of switch:Switch,Swith on/off switches,4,3,0,0,0
23,stl#User:List of switches->User:List of switches->List of switches:update list of switch->update list of switch:switch detail page->switch detail page:update switch status->update switch status:Error message when updating switchs->Error message when updating switchs:Error message of updating,Swith on/off switches,7,4,2,0,0
24,stl#User:List of switches->User:List of switches->List of switches:update list of switch->update list of switch:switch detail page->switch detail page:update switch status->update switch status:Switch,Swith on/off switches,6,5,0,0,0
25,stl#User:Error message of updating->User:Error message of updating,Swith on/off switches,2,0,1,0,0
26,stl#User:switch detail page->User:switch detail page->switch detail page:update switch status->update switch status:Error message when updating switchs->Error message when updating switchs:Error message of updating,Swith on/off switches,5,2,2,0,0
27,stl#User:switch detail page->User:switch detail page->switch detail page:update switch status->update switch status:Switch,Swith on/off switches,4,3,0,0,0
