id,element,useCase,type,component
1,User:No matched results,Search course,control,Trainer schedule page
2,User:Search page,Search course,control,Course search page
3,User:home page,Search course,boundary,Payment page
4,User:course list,Search course,control,Course
5,Search course by keywords:No matched results,Search course,control,Trainer schedule page
6,Save sign up information:course,Search course,control,Course
7,Save sign up information:home page,Search course,boundary,Payment page
8,Search course by keywords:Save sign up information,Search course,boundary,Sign up trainer page
9,Search course by keywords:course list,Search course,control,Course
10,Search course by keywords:course,Search course,control,Course
11,Search page:Search course by keywords,Search course,control,Course search page
12,Search page:redirect to home page,Search course,control,Order records page
13,redirect to home page:home page,Search course,boundary,Payment page
14,stl#User:No matched results,Search course,Stimulus,undefined
15,stl#User:Search page,Search course,Stimulus,undefined
16,stl#User:home page,Search course,Stimulus,undefined
17,stl#User:course list,Search course,Stimulus,undefined
