id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#EventBrite:receive payment result->EventBrite:receive payment result->receive payment result:Send out confirmation email->Send out confirmation email:Email protocol,Review course,TRAN_NA,4,2,4,3,16
2,stl#EventBrite:receive payment result->EventBrite:receive payment result->receive payment result:Send out confirmation email->Send out confirmation email:registration success,Review course,TRAN_NA,4,1,4.333333333333333,3,17.333333333333332
3,stl#EventBrite:Update cours information in db->EventBrite:Update cours information in db->Update cours information in db:Course,Review course,CTRL,3,0,5,2,15
4,stl#EventBrite:Update cours information in db->EventBrite:Update cours information in db->Update cours information in db:Cours information update success message->Cours information update success message:make payment->make payment:EventBrite,Review course,TRAN_NA,5,1,9,4,45
5,stl#Attendee:Cours information update success message->Attendee:Cours information update success message->Cours information update success message:make payment->make payment:EventBrite,Review course,TRAN_NA,4,1,9.333333333333334,3,37.333333333333336
6,stl#Attendee:registration success->Attendee:registration success,Review course,CTRL;EXTCLL;INT,2,0,2,1,4
7,stl#Attendee:Course detail page->Attendee:Course detail page->Course detail page:Display review page->Display review page:Review page->Review page:Update cours information in db->Update cours information in db:Course,Review course,TRAN_NA,6,2,3.4,5,20.4
8,stl#Attendee:Course detail page->Attendee:Course detail page->Course detail page:Display review page->Display review page:Review page->Review page:Update cours information in db->Update cours information in db:Cours information update success message->Cours information update success message:make payment->make payment:EventBrite,Review course,TRAN_NA,8,3,6.142857142857143,7,49.142857142857146
9,stl#Attendee:Course detail page->Attendee:Course detail page->Course detail page:Display review page->Display review page:Review page->Review page:Redirect to home page->Redirect to home page:Home page,Review course,TRAN_NA,6,3,3.8,5,22.799999999999997
10,stl#Attendee:Course detail page->Attendee:Course detail page->Course detail page:setupPayment->setupPayment:EventBrite,Review course,TRAN_NA,4,1,7,3,28
11,stl#Attendee:Home page->Attendee:Home page,Review course,CTRL;EXTCLL;INT,2,0,10,1,20
12,stl#Attendee:Review page->Attendee:Review page->Review page:Update cours information in db->Update cours information in db:Course,Review course,TRAN_NA,4,1,4.333333333333333,3,17.333333333333332
13,stl#Attendee:Review page->Attendee:Review page->Review page:Update cours information in db->Update cours information in db:Cours information update success message->Cours information update success message:make payment->make payment:EventBrite,Review course,TRAN_NA,6,2,7.8,5,46.8
14,stl#Attendee:Review page->Attendee:Review page->Review page:Redirect to home page->Redirect to home page:Home page,Review course,TRAN_NA,4,2,5,3,20
