id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#Admin:Invalid course information->Admin:Invalid course information->Invalid course information:delete course->delete course:Redirect to home page->Redirect to home page:home page,Modify course,5,2,2,0,0
2,stl#Admin:Invalid course information->Admin:Invalid course information->Invalid course information:delete course->delete course:Redirect to home page->Redirect to home page:Email protocol,Modify course,5,1,3,0,0
3,stl#Admin:Invalid course information->Admin:Invalid course information->Invalid course information:delete course->delete course:course,Modify course,4,1,2,0,0
4,stl#Admin:home page->Admin:home page,Modify course,2,1,0,0,0
5,stl#Admin:Course management page->Admin:Course management page->Course management page:Redirect to home page->Redirect to home page:home page,Modify course,4,2,1,0,0
6,stl#Admin:Course management page->Admin:Course management page->Course management page:Redirect to home page->Redirect to home page:Email protocol,Modify course,4,1,2,0,0
7,stl#Admin:Course management page->Admin:Course management page->Course management page:verify course information->verify course information:Invalid course information->Invalid course information:delete course->delete course:Redirect to home page->Redirect to home page:home page,Modify course,7,3,3,0,0
8,stl#Admin:Course management page->Admin:Course management page->Course management page:verify course information->verify course information:Invalid course information->Invalid course information:delete course->delete course:Redirect to home page->Redirect to home page:Email protocol,Modify course,7,2,4,0,0
9,stl#Admin:Course management page->Admin:Course management page->Course management page:verify course information->verify course information:Invalid course information->Invalid course information:delete course->delete course:course,Modify course,6,2,3,0,0
10,stl#Admin:Course management page->Admin:Course management page->Course management page:verify course information->verify course information:save course info->save course info:course,Modify course,5,1,3,0,0
