id,element,useCase,type,component
1,Trainer:schedule update page,Update schedule,control,Trainer schedule page
2,Trainer:schedule info page,Update schedule,control,Trainer schedule page
3,Trainer:Invalid input schedule info,Update schedule,control,Trainer schedule page
4,Trainer:load schedule button,Update schedule,control,Trainer schedule page
5,validate updated schedule info:Invalid input schedule info,Update schedule,control,Trainer schedule page
6,display update schedule page:schedule update page,Update schedule,control,Trainer schedule page
7,schedule info page:display update schedule page,Update schedule,control,Trainer schedule page
8,load schedule button:query schedule info,Update schedule,control,Trainer schedule page
9,query schedule info:schedule info page,Update schedule,control,Trainer schedule page
10,query schedule info:schedule,Update schedule,control,Trainer schedule page
11,save updated schedule:schedule,Update schedule,control,Trainer schedule page
12,validate updated schedule info:save updated schedule,Update schedule,control,Trainer schedule page
13,schedule update page:validate updated schedule info,Update schedule,control,Trainer schedule page
14,stl#Trainer:schedule update page,Update schedule,Stimulus,undefined
15,stl#Trainer:schedule info page,Update schedule,Stimulus,undefined
16,stl#Trainer:Invalid input schedule info,Update schedule,Stimulus,undefined
17,stl#Trainer:load schedule button,Update schedule,Stimulus,undefined
