id,element,useCase,type,component
1,Admin:Invalid entered information,Add course,boundary,Dashboard order management page
2,Admin:Manage course page,Add course,boundary,Dashboard course management page
3,Admin:home page,Add course,boundary,Payment page
4,Process course information:Invalid entered information,Add course,boundary,Dashboard order management page
5,Manage course page:Process course information,Add course,boundary,Course providing records
6,Manage course page:redirect to home page,Add course,control,Order records page
7,Process course information:save course information into database,Add course,boundary,Dashboard course management page
8,save course information into database:course,Add course,control,Course
9,redirect to home page:home page,Add course,boundary,Payment page
10,stl#Admin:Invalid entered information,Add course,Stimulus,undefined
11,stl#Admin:Manage course page,Add course,Stimulus,undefined
12,stl#Admin:home page,Add course,Stimulus,undefined
13,Admin:delete course button,Delete course,control,Course
14,Admin:delete success message,Delete course,boundary,Dashboard process request page
15,Admin:Delete confirmation dialog,Delete course,control,Course attendeee profile page
16,send email to attendees:Email protocol,Delete course,control,Trainer profile page
17,Delete confirmation dialog:delete course,Delete course,control,Course
18,show delete confirmation box:Delete confirmation dialog,Delete course,control,Course attendeee profile page
19,delete course:course,Delete course,control,Course
20,delete course:send email to attendees,Delete course,control,Course attendeee profile page
21,delete course button:show delete confirmation box,Delete course,control,Course attendeee profile page
22,send email to attendees:delete success message,Delete course,boundary,Dashboard process request page
23,stl#Admin:delete course button,Delete course,Stimulus,undefined
24,stl#Admin:delete success message,Delete course,Stimulus,undefined
25,stl#Admin:Delete confirmation dialog,Delete course,Stimulus,undefined
26,User:Home page,Login,boundary,Payment page
27,User:course detail page,Login,boundary,Course detail page
28,User:Login success information,Login,control,Login Page
29,User:Login invalid message,Login,control,Login Page
30,User:Login page,Login,control,Login Page
31,Redirect to home page:Home page,Login,boundary,Payment page
32,verify login information:Login invalid message,Login,control,Login Page
33,Login page:verify login information,Login,control,Login Page
34,Login page:Redirect to home page,Login,control,Order records page
35,update role:Login success information,Login,control,Login Page
36,update role:cache,Login,entity,cache
37,verify login information:update role,Login,control,Course attendeee profile page
38,verify login information:user,Login,entity,User
39,stl#User:Home page,Login,Stimulus,undefined
40,stl#User:course detail page,Login,Stimulus,undefined
41,stl#User:Login success information,Login,Stimulus,undefined
42,stl#User:Login invalid message,Login,Stimulus,undefined
43,stl#User:Login page,Login,Stimulus,undefined
44,Admin:Invalid course information,Modify course,boundary,Course providing records
45,Admin:home page,Modify course,boundary,Payment page
46,Admin:Course management page,Modify course,boundary,Dashboard course management page
47,Redirect to home page:Email protocol,Modify course,control,Trainer profile page
48,Course management page:Redirect to home page,Modify course,control,Order records page
49,Course management page:verify course information,Modify course,control,Course
50,Invalid course information:delete course,Modify course,control,Course
51,verify course information:Invalid course information,Modify course,boundary,Course providing records
52,Redirect to home page:home page,Modify course,boundary,Payment page
53,delete course:Redirect to home page,Modify course,control,Order records page
54,delete course:course,Modify course,control,Course
55,save course info:course,Modify course,control,Course
56,verify course information:save course info,Modify course,control,Course
57,stl#Admin:Invalid course information,Modify course,Stimulus,undefined
58,stl#Admin:home page,Modify course,Stimulus,undefined
59,stl#Admin:Course management page,Modify course,Stimulus,undefined
60,Attendee:Home page,Register course,boundary,Payment page
61,Attendee:Payment page,Register course,boundary,Payment page
62,Attendee:registration success,Register course,boundary,Dashboard process request page
63,Attendee:Course detail page,Register course,boundary,Course detail page
64,Send out confirmation email:Email protocol,Register course,control,Trainer profile page
65,EventBrite:receive payment result,Register course,boundary,Payment page
66,EventBrite:bring up payment page,Register course,boundary,Payment page
67,setupPayment:EventBrite,Register course,boundary,Payment page
68,make payment:EventBrite,Register course,boundary,Payment page
69,Course detail page:setupPayment,Register course,boundary,Payment page
70,Course detail page:Redirect to home page,Register course,control,Order records page
71,Redirect to home page:Home page,Register course,boundary,Payment page
72,Payment page:make payment,Register course,boundary,Payment page
73,bring up payment page:Payment page,Register course,boundary,Payment page
74,Send out confirmation email:registration success,Register course,boundary,Dashboard process request page
75,receive payment result:Send out confirmation email,Register course,control,Course attendeee profile page
76,setupPayment:course,Register course,control,Course
77,stl#Attendee:Home page,Register course,Stimulus,undefined
78,stl#Attendee:Payment page,Register course,Stimulus,undefined
79,stl#Attendee:registration success,Register course,Stimulus,undefined
80,stl#Attendee:Course detail page,Register course,Stimulus,undefined
81,stl#EventBrite:receive payment result,Register course,Stimulus,undefined
82,stl#EventBrite:bring up payment page,Register course,Stimulus,undefined
83,send email to trianer:Email protocol,Request new course,control,Trainer profile page
84,User:home page,Request new course,boundary,Payment page
85,User:Log out button,Request new course,control,Login Page
86,User:course information is no t valid message,Request new course,boundary,Course request page
87,Log out button:clear local cache,Request new course,entity,cache
88,clear local cache:cache,Request new course,entity,cache
89,clear local cache:home page,Request new course,boundary,Payment page
90,save course information for review:course information is no t valid message,Request new course,boundary,Course request page
91,home page:save course information for review,Request new course,control,Course review records
92,save course information for review:send email to trianer,Request new course,control,Trainer profile page
93,stl#User:home page,Request new course,Stimulus,undefined
94,stl#User:Log out button,Request new course,Stimulus,undefined
95,stl#User:course information is no t valid message,Request new course,Stimulus,undefined
96,Attendee:Review page,Review course,boundary,Course Review Page
97,Attendee:Home page,Review course,boundary,Payment page
98,Attendee:Course detail page,Review course,boundary,Course detail page
99,Attendee:registration success,Review course,boundary,Dashboard process request page
100,Attendee:Cours information update success message,Review course,control,Sign up course attendee page
101,Send out confirmation email:Email protocol,Review course,control,Trainer profile page
102,EventBrite:Update cours information in db,Review course,control,Sign up course attendee page
103,EventBrite:receive payment result,Review course,boundary,Payment page
104,make payment:EventBrite,Review course,boundary,Payment page
105,setupPayment:EventBrite,Review course,boundary,Payment page
106,Cours information update success message:make payment,Review course,boundary,Payment page
107,Update cours information in db:Cours information update success message,Review course,control,Sign up course attendee page
108,Update cours information in db:Course,Review course,control,Course
109,Course detail page:setupPayment,Review course,boundary,Payment page
110,Course detail page:Display review page,Review course,boundary,Course Review Page
111,Display review page:Review page,Review course,boundary,Course Review Page
112,Redirect to home page:Home page,Review course,boundary,Payment page
113,Review page:Redirect to home page,Review course,control,Order records page
114,Review page:Update cours information in db,Review course,control,Sign up course attendee page
115,Send out confirmation email:registration success,Review course,boundary,Dashboard process request page
116,receive payment result:Send out confirmation email,Review course,control,Course attendeee profile page
117,stl#Attendee:Review page,Review course,Stimulus,undefined
118,stl#Attendee:Home page,Review course,Stimulus,undefined
119,stl#Attendee:Course detail page,Review course,Stimulus,undefined
120,stl#Attendee:registration success,Review course,Stimulus,undefined
121,stl#Attendee:Cours information update success message,Review course,Stimulus,undefined
122,stl#EventBrite:Update cours information in db,Review course,Stimulus,undefined
123,stl#EventBrite:receive payment result,Review course,Stimulus,undefined
124,User:No matched results,Search course,control,Trainer schedule page
125,User:Search page,Search course,control,Course search page
126,User:home page,Search course,boundary,Payment page
127,User:course list,Search course,control,Course
128,Search course by keywords:No matched results,Search course,control,Trainer schedule page
129,Save sign up information:course,Search course,control,Course
130,Save sign up information:home page,Search course,boundary,Payment page
131,Search course by keywords:Save sign up information,Search course,boundary,Sign up trainer page
132,Search course by keywords:course list,Search course,control,Course
133,Search course by keywords:course,Search course,control,Course
134,Search page:Search course by keywords,Search course,control,Course search page
135,Search page:redirect to home page,Search course,control,Order records page
136,redirect to home page:home page,Search course,boundary,Payment page
137,stl#User:No matched results,Search course,Stimulus,undefined
138,stl#User:Search page,Search course,Stimulus,undefined
139,stl#User:home page,Search course,Stimulus,undefined
140,stl#User:course list,Search course,Stimulus,undefined
141,User:invalid sign up informatin,Setup account,boundary,Sign up trainer page
142,User:Sign up page,Setup account,boundary,Sign up trainer page
143,User:home page,Setup account,boundary,Payment page
144,Save sign up information:home page,Setup account,boundary,Payment page
145,Save sign up information:user,Setup account,entity,User
146,verify sign up information:Save sign up information,Setup account,boundary,Sign up trainer page
147,Sign up page:verify sign up information,Setup account,boundary,Sign up trainer page
148,verify sign up information:invalid sign up informatin,Setup account,boundary,Sign up trainer page
149,stl#User:invalid sign up informatin,Setup account,Stimulus,undefined
150,stl#User:Sign up page,Setup account,Stimulus,undefined
151,stl#User:home page,Setup account,Stimulus,undefined
152,User:Login page,Share course,control,Login Page
153,User:Course list,Share course,control,Course
154,User:Share menu,Share course,boundary,Share course records
155,User:course list button,Share course,control,Course
156,Course list:Open course share menu,Share course,boundary,Share course records
157,load course list:Course list,Share course,control,Course
158,Redirect to login page:Login page,Share course,control,Login Page
159,send course information to users:Notification,Share course,entity,Notification
160,Open course share menu:Share menu,Share course,boundary,Share course records
161,Share menu:Redirect to login page,Share course,control,Login Page
162,Share menu:send course information to users,Share course,control,Sign up course attendee page
163,course list button:load course list,Share course,control,Course
164,load course list:user,Share course,entity,User
165,stl#User:Login page,Share course,Stimulus,undefined
166,stl#User:Course list,Share course,Stimulus,undefined
167,stl#User:Share menu,Share course,Stimulus,undefined
168,stl#User:course list button,Share course,Stimulus,undefined
169,Trainer:schedule update page,Update schedule,control,Trainer schedule page
170,Trainer:schedule info page,Update schedule,control,Trainer schedule page
171,Trainer:Invalid input schedule info,Update schedule,control,Trainer schedule page
172,Trainer:load schedule button,Update schedule,control,Trainer schedule page
173,validate updated schedule info:Invalid input schedule info,Update schedule,control,Trainer schedule page
174,display update schedule page:schedule update page,Update schedule,control,Trainer schedule page
175,schedule info page:display update schedule page,Update schedule,control,Trainer schedule page
176,load schedule button:query schedule info,Update schedule,control,Trainer schedule page
177,query schedule info:schedule info page,Update schedule,control,Trainer schedule page
178,query schedule info:schedule,Update schedule,control,Trainer schedule page
179,save updated schedule:schedule,Update schedule,control,Trainer schedule page
180,validate updated schedule info:save updated schedule,Update schedule,control,Trainer schedule page
181,schedule update page:validate updated schedule info,Update schedule,control,Trainer schedule page
182,stl#Trainer:schedule update page,Update schedule,Stimulus,undefined
