id,element,useCase,type,component
1,calculate tips based on input info:Internet browser,Use Tip Calculator,actor,Business Owner Profile
2,User:tip calculator page,Use Tip Calculator,control,tipcalculatorpage
3,User:tip calculator  button,Use Tip Calculator,control,tipcalculatorpage
4,calculate tips based on input info:display added business page,Use Tip Calculator,control,Business Claim
5,tip calculator page:calculate tips based on input info,Use Tip Calculator,control,tipcalculatorpage
6,display added business page:pdf file,Use Tip Calculator,entity,Business Profile
7,display tip calculator page:tip calculator page,Use Tip Calculator,control,tipcalculatorpage
8,tip calculator  button:display tip calculator page,Use Tip Calculator,control,tipcalculatorpage
9,stl#User:tip calculator page,Use Tip Calculator,Stimulus,undefined
10,stl#User:tip calculator  button,Use Tip Calculator,Stimulus,undefined
