id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:document view button->User:document view button->document view button:validate login information->validate login information:login,Secure File Management View Process,CTRL;EXTCLL;DM;EI,4,2,4,3,16
2,stl#User:document view button->User:document view button->document view button:validate login information->validate login information:load documents->load documents:document view page->document view page:query document->query document:document detail page,Secure File Management View Process,CTRL,7,13,8.5,6,59.5
3,stl#User:document view button->User:document view button->document view button:validate login information->validate login information:load documents->load documents:document view page->document view page:query document->query document:document,Secure File Management View Process,CTRL,7,13,8.5,6,59.5
4,stl#User:document view button->User:document view button->document view button:validate login information->validate login information:load documents->load documents:document view page->document view page:query document->query document:Display error message->Display error message:viewing document error message,Secure File Management View Process,CTRL,8,12,6.714285714285714,7,53.714285714285715
5,stl#User:document view button->User:document view button->document view button:validate login information->validate login information:load documents->load documents:document,Secure File Management View Process,CTRL,5,11,7.75,4,38.75
6,stl#User:document view page->User:document view page->document view page:query document->query document:document detail page,Secure File Management View Process,CTRL,4,11,10,3,40
7,stl#User:document view page->User:document view page->document view page:query document->query document:document,Secure File Management View Process,CTRL,4,11,10,3,40
8,stl#User:document view page->User:document view page->document view page:query document->query document:Display error message->Display error message:viewing document error message,Secure File Management View Process,CTRL,5,10,6.5,4,32.5
9,stl#User:document detail page->User:document detail page,Secure File Management View Process,CTRL,2,9,10,1,20
10,stl#User:viewing document error message->User:viewing document error message,Secure File Management View Process,CTRL,2,0,3,1,6
