id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,$help://usecasediagram.htm,0,0,0,0,0,0
2,$help://use_case_model_pattern.htm,0,0,0,0,0,0
3,$help://actor.htm,0,0,0,0,0,0
4,System Boundary,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,0,0,0,0,0
6,Meeting,0,0,0,0,0,0
7,Meeting Log,0,0,0,0,0,0
8,Meeting Minute,0,0,0,0,0,0
9,Meeting Minute Comment,0,0,0,0,0,0
10,Project,0,0,0,0,0,0
11,Status Notification,0,0,0,0,0,0
12,Task,0,0,0,0,0,0
13,UserInfo,0,0,0,0,0,0
14,approvesignupscreen,0,0,0,0,0,0
