id,element,useCase,type,component
1,Match other learner,Search for Native Speaker,entity,MatchService
2,send_match_request,Search for Native Speaker,entity,MatchService
3,validate_request(),Search for Native Speaker,entity,MatchService
4,get_matched_user(),Search for Native Speaker,entity,MatchService
5,matched user list,Search for Native Speaker,entity,MatchService
6,matched user list,Search for Native Speaker,entity,MatchService
7,display matched user,Search for Native Speaker,actor,undefined
8,stl#Match other learner,Search for Native Speaker,Stimulus,undefined
9,Language Learner:No matching message,Search for Native Speaker,boundary,Message
10,Language Learner:List of language learners,Search for Native Speaker,control,Language
11,Language Learner:Langugage choose page,Search for Native Speaker,control,Language
12,Language Learner:choose language button,Search for Native Speaker,control,Language
13,system check language preferences:List of language learners,Search for Native Speaker,control,Language
14,system check language preferences:No matching message,Search for Native Speaker,boundary,Message
15,choose language button:system check language preferences,Search for Native Speaker,control,Language
16,system check language preferences:language preference info,Search for Native Speaker,control,Language
17,stl#Language Learner:No matching message,Search for Native Speaker,Stimulus,undefined
18,stl#Language Learner:List of language learners,Search for Native Speaker,Stimulus,undefined
19,stl#Language Learner:Langugage choose page,Search for Native Speaker,Stimulus,undefined
20,stl#Language Learner:choose language button,Search for Native Speaker,Stimulus,undefined
