id,element,useCase,type,component
1,Owner:users list,Authorize tour creator,control,changeuserfile
2,Owner:Error message,Authorize tour creator,control,Errormessage
3,send error message if not successful:Error message,Authorize tour creator,control,Errormessage
4,change user file:send error message if not successful,Authorize tour creator,control,Errormessage
5,change user file:user info,Authorize tour creator,control,changeuserfile
6,users list:change user file,Authorize tour creator,control,changeuserfile
7,retrieve user profile:users list,Authorize tour creator,control,changeuserfile
8,retrieve user profile:user info,Authorize tour creator,control,changeuserfile
9,users list:retrieve user profile,Authorize tour creator,control,changeuserfile
10,stl#Owner:users list,Authorize tour creator,Stimulus,undefined
11,stl#Owner:Error message,Authorize tour creator,Stimulus,undefined
