id,element,useCase,type,component
1,Creator:Update error message,Creator modify tour details,control,Errormessage
2,Creator:Tour detail,Creator modify tour details,entity,Tour
3,Creator:Information invalidity error,Creator modify tour details,control,Errormessage
4,check tour detail:Information invalidity error,Creator modify tour details,control,Errormessage
5,Tour detail:check tour detail,Creator modify tour details,entity,Tour
6,update error:Update error message,Creator modify tour details,control,Errormessage
7,check tour detail:update tour detail,Creator modify tour details,entity,Tour
8,update tour detail:tour detail info,Creator modify tour details,entity,Tour
9,update tour detail:update error,Creator modify tour details,control,Errormessage
10,stl#Creator:Update error message,Creator modify tour details,Stimulus,undefined
11,stl#Creator:Tour detail,Creator modify tour details,Stimulus,undefined
12,stl#Creator:Information invalidity error,Creator modify tour details,Stimulus,undefined
