id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,$help://use_case_model_pattern.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,$help://usecasediagram.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,$help://actor.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,System Boundary,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,Owner,3,1,3,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,Stop,9,1,9,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,Tour,4,5,4,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,TourCreator,5,4,5,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,emptymapview,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,Errormessage,0,5,0,1,3,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,checkloginInfo,0,5,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
