id,element,useCase,type,component
1,User :select a contact,view contact information,boundary,Contacts list file
2,User :Homepage,view contact information,boundary,Homepage
3,User :click view button,view contact information,boundary,Clicksubmit
4,Display information of selected contact to staff:Homepage,view contact information,boundary,Homepage
5,worker��s authority approved:Display information of selected contact to staff,view contact information,control,Contacts information profile
6,check staff��s authority:worker��s authority approved,view contact information,control,editworkerfromSalesforce
7,select a contact:check staff��s authority,view contact information,control,Staff Profile
8,click view button:check staff��s authority,view contact information,control,Staff Profile
9,stl#User :select a contact,view contact information,Stimulus,undefined
10,stl#User :Homepage,view contact information,Stimulus,undefined
11,stl#User :click view button,view contact information,Stimulus,undefined
