id,element,useCase,type,component
1,User:click "submit" button,add project,boundary,Clicksubmit
2,User:type in project information,add project,control,Contacts information profile
3,User:click "add project" button,add project,boundary,Project Profile
4,User:Homepage,add project,boundary,Homepage
5,Add  project  page:Add project  information,add project,control,Contacts information profile
6,Show confirmation:Add  project  page,add project,boundary,Project Profile
7,Add project  information:Show confirmation,add project,control,Contacts information profile
8,Check the authority of manager:Manager authority approval,add project,control,Donation information Profile
9,type in project information:Check the authority of manager,add project,boundary,Homepage
10,Display a text field:Check the authority of manager,add project,boundary,Homepage
11,click "submit" button:Check the authority of manager,add project,boundary,Homepage
12,click "add project" button:Display a text field,add project,boundary,mass mailing template
13,add new project into Salesforce:Homepage,add project,boundary,Homepage
14,Show confirmation:Homepage,add project,boundary,Homepage
15,Manager authority approval:add new project into Salesforce,add project,boundary,Project Profile
16,Show confirmation:Project  db,add project,boundary,Project Profile
17,stl#User:click "submit" button,add project,Stimulus,undefined
18,stl#User:type in project information,add project,Stimulus,undefined
19,stl#User:click "add project" button,add project,Stimulus,undefined
20,stl#User:Homepage,add project,Stimulus,undefined
