id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,Contacts information profile,6,6,6,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,Contacts list file,2,7,2,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,Donation information Profile,5,5,5,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,Project Profile,8,3,8,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,Staff Profile,3,2,3,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,backup file,6,1,6,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,mass mailing template,2,3,2,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,User,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,Clicksubmit,0,5,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,Homepage,0,4,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,Retypenew�Cpassword,0,3,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,editworkerfromSalesforce,0,2,0,1,6,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
