id,element,useCase,type,component
1,User:Homepage,view job seeker profile,boundary,Homepage
2,User:Choose  job seeker,view job seeker profile,boundary,Job Post
3,User:Click View job seeker,view job seeker profile,boundary,ClickonAdd
4,Choose  job seeker:display  job seeker detail information,view job seeker profile,boundary,Job Candidate Profile
5,Click View job seeker:diplay  job seeker  list   profile,view job seeker profile,boundary,Job Candidate Profile
6,display  job seeker detail information:Homepage,view job seeker profile,boundary,Homepage
7,diplay  job seeker  list   profile:display  job seeker detail information,view job seeker profile,boundary,Job Candidate Profile
8,stl#User:Homepage,view job seeker profile,Stimulus,undefined
9,stl#User:Choose  job seeker,view job seeker profile,Stimulus,undefined
10,stl#User:Click View job seeker,view job seeker profile,Stimulus,undefined
