id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#User:Input information->User:Input information->Input information:Update information in database->Update information in database:Database,update User's info,4,0,1,2,0
2,stl#User:Input information->User:Input information->Input information:Update information in database->Update information in database:Homepage,update User's info,4,0,2,1,0
3,stl#User:Homepage->User:Homepage,update User's info,2,0,1,0,0
4,stl#User:Choose one user and update->User:Choose one user and update->Choose one user and update:Update information in database->Update information in database:Database,update User's info,4,0,0,3,0
5,stl#User:Choose one user and update->User:Choose one user and update->Choose one user and update:Update information in database->Update information in database:Homepage,update User's info,4,0,1,2,0
6,stl#User:Choose one user and update->User:Choose one user and update->Choose one user and update:Update information in database->Update information in database:Database,update User's info,4,0,0,3,0
7,stl#User:Choose one user and update->User:Choose one user and update->Choose one user and update:Update information in database->Update information in database:Homepage,update User's info,4,0,1,2,0
8,stl#User:Input information->User:Input information->Input information:Update information in database->Update information in database:Database,update User's info,4,0,1,2,0
9,stl#User:Input information->User:Input information->Input information:Update information in database->Update information in database:Homepage,update User's info,4,0,2,1,0
10,stl#User:Manage resource button->User:Manage resource button->Manage resource button:Show list of information->Show list of information:Update information in database->Update information in database:Database,update User's info,5,0,2,2,0
11,stl#User:Manage resource button->User:Manage resource button->Manage resource button:Show list of information->Show list of information:Update information in database->Update information in database:Homepage,update User's info,5,0,3,1,0
