id,element,useCase,type,component
1,User:Input information,update resource,control,User Info Input Page
2,User:Manage resource button,update resource,control,Resource page
3,User:Choose one of  resources and update,update resource,control,Resource page
4,User:Choose one of  resources and update,update resource,control,Resource page
5,User:Input information,update resource,control,User Info Input Page
6,User:Homepage,update resource,control,Send Messagepage
7,Choose one of  resources and update:show update inforamtion resource,update resource,control,Resource Input page
8,Choose one of  resources and update:show update inforamtion resource,update resource,control,Resource Input page
9,show update inforamtion resource:Database,update resource,entity,Cass Attendance Info
10,show update inforamtion resource:Homepage,update resource,control,Send Messagepage
11,Input information:show update inforamtion resource,update resource,control,Resource Input page
12,Input information:show update inforamtion resource,update resource,control,Resource Input page
13,Manage resource button:Show lists of resources,update resource,control,Resource List with Status
14,Show lists of resources:show update inforamtion resource,update resource,control,Resource Input page
15,stl#User:Input information,update resource,Stimulus,undefined
16,stl#User:Manage resource button,update resource,Stimulus,undefined
17,stl#User:Choose one of  resources and update,update resource,Stimulus,undefined
18,stl#User:Choose one of  resources and update,update resource,Stimulus,undefined
19,stl#User:Input information,update resource,Stimulus,undefined
20,stl#User:Homepage,update resource,Stimulus,undefined
