id,element,useCase,type,component
1,User:Click button,view final student schedule,boundary,Lockbutton
2,User:Send student detail,view final student schedule,control,student data
3,User:Homepage,view final student schedule,boundary,Displaymessagepage
4,Click button:Request student detail,view final student schedule,control,student data
5,Display page:Homepage,view final student schedule,boundary,Displaymessagepage
6,Send student detail:Display page,view final student schedule,boundary,Displaymessagepage
7,Request student detail:Display page,view final student schedule,boundary,Displaymessagepage
8,stl#User:Click button,view final student schedule,Stimulus,undefined
9,stl#User:Send student detail,view final student schedule,Stimulus,undefined
10,stl#User:Homepage,view final student schedule,Stimulus,undefined
