id,element,useCase,type,component
1,User:Homepage,authenticate,boundary,school name
2,User:Input user name and password,authenticate,boundary,semester
3,Check if the id exists:Database,authenticate,entity,counselor data
4,Check if the id exists:Display confirmation,authenticate,control,course section
5,Validate usename and password:Check if the id exists,authenticate,control,other requirements
6,Display confirmation:Homepage,authenticate,boundary,school name
7,Display confirmation:Input user name and password,authenticate,boundary,semester
8,Input user name and password:Validate usename and password,authenticate,control,calendar year
9,stl#User:Homepage,authenticate,Stimulus,undefined
10,stl#User:Input user name and password,authenticate,Stimulus,undefined
