id,element,useCase,type,component
1,User:assign student,assign counselor,control,student data
2,User:Homepage,assign counselor,boundary,school name
3,User:counselor student assignment menu,assign counselor,entity,counselor data
4,Allocate a counselor :Display updated counselor,assign counselor,entity,counselor data
5,Show list of stuedents:Allocate a counselor ,assign counselor,entity,counselor data
6,Display updated counselor:Homepage,assign counselor,boundary,school name
7,Display updated counselor:counselor student assignment menu,assign counselor,entity,counselor data
8,counselor student assignment menu:Show list of stuedents,assign counselor,control,student data
9,stl#User:assign student,assign counselor,Stimulus,undefined
10,stl#User:Homepage,assign counselor,Stimulus,undefined
11,stl#User:counselor student assignment menu,assign counselor,Stimulus,undefined
