id,attribute,type,element
1,courseId,EAJava_int,Student Progress
2,grade,EAJava_String,Student Progress
3,studentId,EAJava_String,Student Progress
4,code,EAJava_String,approval status
5,name,EAJava_String,approval status
6,isCourseListLocked,EAJava_boolean,calendar year
7,isCourseSectionLocked,EAJava_boolean,calendar year
8,isCurrentSemester,EAJava_boolean,calendar year
9,isStudentPreferenceDeleted,EAJava_boolean,calendar year
10,isTeacherAssignLocked,EAJava_boolean,calendar year
11,semester,EAJava_int,calendar year
12,year,EAJava_int,calendar year
13,code,EAJava_int,college type
14,name,EAJava_String,college type
15,id,EAJava_int,counselor data
16,courseType,EAJava_String,course constraints
17,gradeLevel,EAJava_boolean,course constraints
18,maxNumOfStudents,EAJava_int,course constraints
19,minNumOfStudents,EAJava_int,course constraints
20,courseType,EAJava_String,course detail
21,gradeLevel,EAJava_int,course detail
22,gradeSpanEnd,EAJava_int,course detail
23,gradeSpanStart,EAJava_int,course detail
24,id,EAJava_String,course detail
25,isDefaultCourse,EAJava_boolean,course detail
26,isMandatoryCourse,EAJava_boolean,course detail
27,isSchoolCourse,EAJava_boolean,course detail
28,isSchoolRequirements,EAJava_boolean,course detail
29,name,EAJava_String,course detail
30,numOfCredits,EAJava_int,course detail
31,requirementType,EAJava_String,course detail
32,semester,EAJava_int,course detail
33,courseId,EAJava_String,course section
34,id,EAJava_int,course section
35,numOfStudents,EAJava_int,course section
36,semester,EAJava_int,course section
37,teacherId,EAJava_int,course section
38,year,EAJava_int,course section
39,name,EAJava_String,course type
40,type,EAJava_String,course type
41,courseId,EAJava_String,course_constraints_exception
42,maxNumOfStudents,EAJava_int,course_constraints_exception
43,minNumOfStudents,EAJava_int,course_constraints_exception
44,name,EAJava_String,grade values
45,values,EAJava_int,grade values
46,collegeTypeId,EAJava_int,graduate requirements
47,minNumOfCredits,EAJava_int,graduate requirements
48,requiredGradeMore,EAJava_String,graduate requirements
49,requirementType,EAJava_String,graduate requirements
50,menuName,EAJava_String,menu list
51,num,EAJava_int,menu list
52,dateComputerliteracy,EAJava_String,other requirements
53,dateSeniorPortfolio,EAJava_String,other requirements
54,dateServiceLearningProject,EAJava_String,other requirements
55,isComputerLiteracy,EAJava_boolean,other requirements
56,isSeniorPortfolio,EAJava_boolean,other requirements
57,isServiceLearningProject,EAJava_boolean,other requirements
58,passCahseeEla,EAJava_String,other requirements
59,passCahseeMath,EAJava_String,other requirements
60,studentId,EAJava_void,other requirements
61,courseId,EAJava_int,pair course
62,nextSemesterCourseId,EAJava_int,pair course
63,name,EAJava_String,period type
64,type,EAJava_int,period type
65,name,EAJava_String,requirement type
66,type,EAJava_String,requirement type
67,id,EAJava_int,scheduler data
68,DB,EAJava_String,school name
69,id,EAJava_String,school name
70,name,EAJava_String,school name
71,id,EAJava_int,semester
72,name,EAJava_String,semester
73,courseId,EAJava_int,sequence course
74,sequenceCourseId,EAJava_int,sequence course
75,counselorId,EAJava_int,student data
76,id,EAJava_String,student data
77,classNum,EAJava_int,student final schedule
78,courseName,EAJava_String,student final schedule
79,num,EAJava_String,student final schedule
80,period,EAJava_int,student final schedule
81,studentId,EAJava_String,student final schedule
82,studentName,EAJava_String,student final schedule
83,teacherName,EAJava_String,student final schedule
84,approvalStatus,EAJava_String,student preference
85,courseId,EAJava_String,student preference
86,studentId,EAJava_String,student preference
87,employeeNum,EAJava_int,teacher data
88,id,EAJava_int,teacher data
89,BubbleNum,EAJava_int,teacher final schedule
90,classNum,EAJava_int,teacher final schedule
91,courseId,EAJava_String,teacher final schedule
92,courseName,EAJava_String,teacher final schedule
93,numOfStudent,EAJava_int,teacher final schedule
94,period,EAJava_int,teacher final schedule
95,roomNum,EAJava_String,teacher final schedule
96,semester,EAJava_int,teacher final schedule
97,teacherId,EAJava_int,teacher final schedule
98,teacherName,EAJava_String,teacher final schedule
99,year,EAJava_int,teacher final schedule
