id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff
1,stl#User:Homepage->User:Homepage,approve course preference,CTRL;EXTCLL;INT,2,0,2,1,4
2,stl#User: Student course list->User: Student course list-> Student course list:Review course and approve->Review course and approve:Update status in database->Update status in database:Homepage,approve course preference,CTRL;EXTCLL;INT,5,1,2.5,4,12.5
3,stl#User: Student course list->User: Student course list-> Student course list:Review course and approve->Review course and approve:Update status in database->Update status in database:Database,approve course preference,CTRL;EXTCLL;DM;EI,5,1,2.25,4,11.25
4,stl#User: Student course list->User: Student course list-> Student course list:Review course and approve->Review course and approve:Update status in database->Update status in database: Student course list-> Student course list:Review course and approve,approve course preference,CTRL,6,0,2.6,5,15.600000000000001
5,stl#User:counselor student assignment menu->User:counselor student assignment menu->counselor student assignment menu:Show list of stuedents->Show list of stuedents:Allocate a counselor ->Allocate a counselor :Display updated counselor->Display updated counselor:counselor student assignment menu->counselor student assignment menu:Show list of stuedents,assign counselor,TRAN_NA,7,4,3.6666666666666665,6,25.666666666666664
6,stl#User:counselor student assignment menu->User:counselor student assignment menu->counselor student assignment menu:Show list of stuedents->Show list of stuedents:Allocate a counselor ->Allocate a counselor :Display updated counselor->Display updated counselor:Homepage,assign counselor,TRAN_NA,6,4,3.4,5,20.4
7,stl#User:assign student->User:assign student,assign counselor,CTRL,2,1,3,1,6
8,stl#User:Teacher select page->User:Teacher select page->Teacher select page:Save information->Save information:Update database->Update database:Database,assign teacher to course,CTRL;EXTCLL;DM;EI,5,2,1.75,4,8.75
9,stl#User:Teacher select page->User:Teacher select page->Teacher select page:Save information->Save information:Update database->Update database:Confirmation message->Confirmation message:Homepage,assign teacher to course,CTRL;EXTCLL;INT,6,2,2,5,12
10,stl#User:Input user name and password->User:Input user name and password->Input user name and password:Validate usename and password->Validate usename and password:Check if the id exists->Check if the id exists:Display confirmation->Display confirmation:Input user name and password->Input user name and password:Validate usename and password,authenticate,TRAN_NA,7,1,1.6666666666666667,6,11.666666666666668
11,stl#User:Input user name and password->User:Input user name and password->Input user name and password:Validate usename and password->Validate usename and password:Check if the id exists->Check if the id exists:Display confirmation->Display confirmation:Homepage,authenticate,TRAN_NA,6,2,1.6,5,9.600000000000001
12,stl#User:Input user name and password->User:Input user name and password->Input user name and password:Validate usename and password->Validate usename and password:Check if the id exists->Check if the id exists:Database,authenticate,TRAN_NA,5,2,1.5,4,7.5
13,stl#User:Export button->User:Export button->Export button:Generate Csv file->Generate Csv file:Display confirmation page->Display confirmation page:Export button->Export button:Generate Csv file,export activity info,CTRL,6,1,2.2,5,13.200000000000001
14,stl#User:Export button->User:Export button->Export button:Generate Csv file->Generate Csv file:Display confirmation page->Display confirmation page:Homepage,export activity info,CTRL;EXTCLL;INT,5,1,2,4,10
15,stl#User:Export button->User:Export button->Export button:Generate Csv file->Generate Csv file:Display confirmation page->Display confirmation page:Database,export activity info,CTRL;EXTCLL;DM;EI,5,1,1.75,4,8.75
16,stl#User:Export button->User:Export button,export activity info,CTRL,2,0,3,1,6
17,stl#User:Course list menu->User:Course list menu->Course list menu:Calcuate course data->Calcuate course data:Display course list->Display course list:Display confirmation page->Display confirmation page:Homepage,generate course section,TRAN_NA,6,1,1.6,5,9.600000000000001
18,stl#User:Course list menu->User:Course list menu->Course list menu:Calcuate course data->Calcuate course data:Display course list->Display course list:Database,generate course section,TRAN_NA,5,1,1.5,4,7.5
19,stl#User:Click button->User:Click button->Click button:Display course list->Display course list:Display confirmation page->Display confirmation page:Homepage,generate course section,CTRL;EXTCLL;INT,5,1,1.75,4,8.75
20,stl#User:Click button->User:Click button->Click button:Display course list->Display course list:Database,generate course section,CTRL;EXTCLL;DM;EI,4,1,1.6666666666666667,3,6.666666666666667
21,stl#User:Control1->User:Control1,import district course list,CTRL;EXTCLL;INT,2,0,1,1,2
22,stl#User:Input course page->User:Input course page->Input course page:Intert all data at database->Intert all data at database:database,import district course list,TRAN_NA,4,2,1.6666666666666667,3,6.666666666666667
23,stl#User:Input course page->User:Input course page->Input course page:Intert all data at database->Intert all data at database:Display comfirm information->Display comfirm information:Input course page->Input course page:Intert all data at database,import district course list,TRAN_NA,6,3,1.8,5,10.8
24,stl#User:Input course page->User:Input course page->Input course page:Intert all data at database->Intert all data at database:Display comfirm information->Display comfirm information:Homepage,import district course list,TRAN_NA,5,2,1.75,4,8.75
25,stl#User:send students detail->User:send students detail->send students detail:Display page->Display page:Confirmation page->Confirmation page:Homepage,input course preference,TRAN_NA,5,2,4,4,20
26,stl#User:send students detail->User:send students detail->send students detail:Display page->Display page:Confirmation page->Confirmation page:Database,input course preference,TRAN_NA,5,2,3.25,4,16.25
27,stl#User:Select prefer course->User:Select prefer course->Select prefer course:Confirmation page->Confirmation page:Homepage,input course preference,CTRL;EXTCLL;INT,4,2,4.333333333333333,3,17.333333333333332
28,stl#User:Select prefer course->User:Select prefer course->Select prefer course:Confirmation page->Confirmation page:Database,input course preference,CTRL;EXTCLL;DM;EI,4,2,3.3333333333333335,3,13.333333333333334
29,stl#User:Students course menu->User:Students course menu->Students course menu:Request students detail->Request students detail:Display page->Display page:Confirmation page->Confirmation page:Homepage,input course preference,TRAN_NA,6,3,3.4,5,20.4
30,stl#User:Students course menu->User:Students course menu->Students course menu:Request students detail->Request students detail:Display page->Display page:Confirmation page->Confirmation page:Database,input course preference,TRAN_NA,6,3,2.8,5,16.799999999999997
