id,element,useCase,type,component
1,User:Enter answer for question,Retrieve Password,control,Authenticatetheanswer
2,User:Login page,Retrieve Password,boundary,Homepage
3,User:Enter answer for question,Retrieve Password,control,Authenticatetheanswer
4,User:Homepage,Retrieve Password,boundary,Homepage
5,Authenticate the answer:Display confirmation,Retrieve Password,control,Displayconfirmation
6,Diplay security question:Authenticate the answer,Retrieve Password,control,Authenticatetheanswer
7,Enter answer for question:Diplay security question,Retrieve Password,control,Displayconfirmation
8,Recover page:Diplay security question,Retrieve Password,control,Displayconfirmation
9,Enter answer for question:Diplay security question,Retrieve Password,control,Displayconfirmation
10,Display confirmation:Homepage,Retrieve Password,boundary,Homepage
11,Display incorrect user name:Recover page,Retrieve Password,boundary,Homepage
12,Validates user name and password:Display incorrect user name,Retrieve Password,control,Displayconfirmation
13,Login page:Validates user name and password,Retrieve Password,control,Authenticatetheanswer
14,stl#User:Enter answer for question,Retrieve Password,Stimulus,undefined
15,stl#User:Login page,Retrieve Password,Stimulus,undefined
16,stl#User:Enter answer for question,Retrieve Password,Stimulus,undefined
17,stl#User:Homepage,Retrieve Password,Stimulus,undefined
