id,operation,element
1,Leamos,Leamos
2,Adminprofile,Admin profile
3,Courses,Courses
4,Logoutandendthesession,Courses
5,Courselistviewpage,Courses
6,Connecttocoursemerchant,Courses
7,CustomerProfile,Customer Profile
8,Displaycustomersinformation,Customer Profile
9,Customersviewpage,Customer Profile
10,Lessons,Lessons
11,ProgressReport,Progress Report
12,Dialogueboxprompts,Progress Report
13,Generatescoresreports,Progress Report
14,PurchasingOption,Purchasing Option
15,StudentProfile,Student Profile 
16,Createstudents,Student Profile 
17,Addstudentinformation,Student Profile 
18,Studentviewpage,Student Profile 
19,Verifiythepaymentdetails,Student Profile 
20,Texttutorials,Text tutorials
21,Buybutton,Text tutorials
22,VideoTutorial,Video Tutorial
23,Readandwatchvideos,Video Tutorial
24,Database,Database
25,Homepage,Homepage
26,Loginpage,Homepage
27,Recoverpage,Homepage
28,Taketestpage,Homepage
29,Displayconfirmation,Displayconfirmation
30,Displayerror,Displayconfirmation
31,Displayloggedout,Displayconfirmation
32,Displayfinalcourse,Displayconfirmation
33,Diplaysecurityquestion,Displayconfirmation
