id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff
1,stl#User:fills out relevant data ->User:fills out relevant data ->fills out relevant data :responds with a message confirming ->responds with a message confirming :add candidate to applicant list ->add candidate to applicant list :generate a message to inform User ,Apply,CTRL,5,0,3,4,15
2,stl#User:upload relevant documents->User:upload relevant documents->upload relevant documents:responds with a message confirming ->responds with a message confirming :add candidate to applicant list ->add candidate to applicant list :generate a message to inform User ,Apply,TRAN_NA,5,0,3,4,15
3,stl#User:Homepage->User:Homepage,Apply,CTRL;EXTCLL;INT,2,0,2,1,4
4,stl#User:click submit button->User:click submit button->click submit button:add candidate to applicant list ->add candidate to applicant list :generate a message to inform User ,Apply,CTRL,4,0,4,3,16
5,stl#User:select the appropriate postings ->User:select the appropriate postings ->select the appropriate postings :retrieves the posting selected->retrieves the posting selected:responds with a message confirming ->responds with a message confirming :add candidate to applicant list ->add candidate to applicant list :generate a message to inform User ,Apply,TRAN_NA,6,0,3.2,5,19.200000000000003
6,stl#User:select the appropriate postings ->User:select the appropriate postings ->select the appropriate postings :retrieves the posting selected->retrieves the posting selected:Show confirmation page->Show confirmation page:Homepage,Apply,TRAN_NA,5,1,2,4,10
7,stl#User:select the appropriate postings ->User:select the appropriate postings ->select the appropriate postings :retrieves the posting selected->retrieves the posting selected:Show confirmation page->Show confirmation page:Approve Hire db,Apply,TRAN_NA,5,1,1.75,4,8.75
8,stl#User:Approve Hire->User:Approve Hire->Approve Hire:returns the correct applicant->returns the correct applicant:modifies the Applicant profile to reflect User's change->modifies the Applicant profile to reflect User's change:Approve Hire db->Approve Hire db:Homepage,Approve Hire,CTRL;EXTCLL;INT,6,2,4.4,5,26.400000000000002
9,stl#User:Approve Hire->User:Approve Hire->Approve Hire:returns the correct applicant->returns the correct applicant:Show confirmation page->Show confirmation page:Homepage,Approve Hire,CTRL;EXTCLL;INT,5,2,3.5,4,17.5
10,stl#User:Approve Hire->User:Approve Hire->Approve Hire:returns the correct applicant->returns the correct applicant:Show confirmation page->Show confirmation page:Approve Hire db->Approve Hire db:Homepage,Approve Hire,CTRL;EXTCLL;INT,6,2,3.8,5,22.799999999999997
11,stl#User:Approve Hire->User:Approve Hire->Approve Hire:returns the correct applicant->returns the correct applicant:Show confirmation page->Show confirmation page:Approve Hire->Approve Hire:returns the correct applicant,Approve Hire,CTRL,6,3,3.8,5,22.799999999999997
12,stl#User:marks the user as approved->User:marks the user as approved->marks the user as approved:modifies the Applicant profile to reflect User's change->modifies the Applicant profile to reflect User's change:Approve Hire db->Approve Hire db:Homepage,Approve Hire,TRAN_NA,5,1,3.5,4,17.5
13,stl#User:selects Create an Account ->User:selects Create an Account ->selects Create an Account :returns a standard information form ->returns a standard information form :creates an account for the User->creates an account for the User:Homepage,Create Account,TRAN_NA,5,1,2.5,4,12.5
14,stl#User:selects Create an Account ->User:selects Create an Account ->selects Create an Account :returns a standard information form ->returns a standard information form :creates an account for the User->creates an account for the User:Account db,Create Account,TRAN_NA,5,0,2.25,4,11.25
15,stl#User:selects Create an Account ->User:selects Create an Account ->selects Create an Account :returns a standard information form ->returns a standard information form :Show confirmation page->Show confirmation page:selects Create an Account ->selects Create an Account :returns a standard information form ,Create Account,TRAN_NA,6,0,1.8,5,10.8
16,stl#User:selects Create an Account ->User:selects Create an Account ->selects Create an Account :returns a standard information form ->returns a standard information form :Show confirmation page->Show confirmation page:Homepage,Create Account,TRAN_NA,5,1,2.25,4,11.25
17,stl#User:selects Create an Account ->User:selects Create an Account ->selects Create an Account :returns a standard information form ->returns a standard information form :Show confirmation page->Show confirmation page:Account db,Create Account,TRAN_NA,5,1,2,4,10
18,stl#User:fills out all of the required data correctly->User:fills out all of the required data correctly->fills out all of the required data correctly:creates an account for the User->creates an account for the User:Homepage,Create Account,TRAN_NA,4,1,2.3333333333333335,3,9.333333333333334
19,stl#User:fills out all of the required data correctly->User:fills out all of the required data correctly->fills out all of the required data correctly:creates an account for the User->creates an account for the User:Account db,Create Account,TRAN_NA,4,0,2,3,8
20,stl#User:enters in a unique login name for the new user->User:enters in a unique login name for the new user->enters in a unique login name for the new user:check the login name is available->check the login name is available:checks to ensure that the new user has correct credentials->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email ->creates an account for the user and sends an email :show confirmation about that the account created and the email sent->show confirmation about that the account created and the email sent:Homepage,Create Employee Account,TRAN_NA,7,1,2.5,6,17.5
21,stl#User:enters in a unique login name for the new user->User:enters in a unique login name for the new user->enters in a unique login name for the new user:check the login name is available->check the login name is available:checks to ensure that the new user has correct credentials->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email ->creates an account for the user and sends an email :Employee Account db,Create Employee Account,TRAN_NA,6,1,2.2,5,13.200000000000001
22,stl#User:enters in a unique login name for the new user->User:enters in a unique login name for the new user->enters in a unique login name for the new user:check the login name is available->check the login name is available:Show confirmation page->Show confirmation page:enters in a unique login name for the new user->enters in a unique login name for the new user:check the login name is available,Create Employee Account,TRAN_NA,6,0,1.8,5,10.8
23,stl#User:enters in a unique login name for the new user->User:enters in a unique login name for the new user->enters in a unique login name for the new user:check the login name is available->check the login name is available:Show confirmation page->Show confirmation page:Homepage,Create Employee Account,TRAN_NA,5,1,2,4,10
24,stl#User:enters in a unique login name for the new user->User:enters in a unique login name for the new user->enters in a unique login name for the new user:check the login name is available->check the login name is available:Show confirmation page->Show confirmation page:Employee Account db,Create Employee Account,TRAN_NA,5,1,1.75,4,8.75
25,stl#User:fills in the rest of the details for the new user ->User:fills in the rest of the details for the new user ->fills in the rest of the details for the new user :checks to ensure that the new user has correct credentials->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email ->creates an account for the user and sends an email :show confirmation about that the account created and the email sent->show confirmation about that the account created and the email sent:Homepage,Create Employee Account,TRAN_NA,6,1,2.4,5,14.399999999999999
26,stl#User:fills in the rest of the details for the new user ->User:fills in the rest of the details for the new user ->fills in the rest of the details for the new user :checks to ensure that the new user has correct credentials->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email ->creates an account for the user and sends an email :Employee Account db,Create Employee Account,TRAN_NA,5,1,2,4,10
27,stl#User:Clicks Create button->User:Clicks Create button->Clicks Create button:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:fills out relevant information->fills out relevant information:generates posting identification data->generates posting identification data:Show confirmation page,Create Posting,TRAN_NA,7,0,3.8333333333333335,6,26.833333333333336
28,stl#User:Clicks Create button->User:Clicks Create button->Clicks Create button:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:fills out relevant information->fills out relevant information:generates posting identification data->generates posting identification data:Posting is created in the system->Posting is created in the system:generates a message to inform the User ->generates a message to inform the User :Posting db,Create Posting,TRAN_NA,9,2,2.875,8,25.875
29,stl#User:Clicks Create button->User:Clicks Create button->Clicks Create button:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:fills out relevant information->fills out relevant information:generates posting identification data->generates posting identification data:Posting is created in the system->Posting is created in the system:generates a message to inform the User ->generates a message to inform the User :Homepage,Create Posting,TRAN_NA,9,2,3,8,27
30,stl#User:Clicks Create button->User:Clicks Create button->Clicks Create button:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:Posting db,Create Posting,TRAN_NA,5,1,3.25,4,16.25
31,stl#User:Clicks Create button->User:Clicks Create button->Clicks Create button:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:Homepage,Create Posting,TRAN_NA,5,1,3.5,4,17.5
32,stl#User:Clicks Create button->User:Clicks Create button->Clicks Create button:generates posting identification data->generates posting identification data:Posting is created in the system->Posting is created in the system:generates a message to inform the User ->generates a message to inform the User :Posting db,Create Posting,TRAN_NA,6,2,2.2,5,13.200000000000001
33,stl#User:Clicks Create button->User:Clicks Create button->Clicks Create button:generates posting identification data->generates posting identification data:Posting is created in the system->Posting is created in the system:generates a message to inform the User ->generates a message to inform the User :Homepage,Create Posting,TRAN_NA,6,2,2.4,5,14.399999999999999
34,stl#User:fills out relevant information->User:fills out relevant information->fills out relevant information:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:fills out relevant information->fills out relevant information:generates posting identification data,Create Posting,CTRL,6,0,3.8,5,22.799999999999997
35,stl#User:fills out relevant information->User:fills out relevant information->fills out relevant information:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:Posting db,Create Posting,CTRL;EXTCLL;DM;EI,5,1,3.5,4,17.5
36,stl#User:fills out relevant information->User:fills out relevant information->fills out relevant information:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:Homepage,Create Posting,CTRL;EXTCLL;INT,5,1,3.75,4,18.75
37,stl#User:fills out relevant information->User:fills out relevant information->fills out relevant information:generates posting identification data->generates posting identification data:Posting is created in the system->Posting is created in the system:generates a message to inform the User ->generates a message to inform the User :Posting db,Create Posting,CTRL;EXTCLL;DM;EI,6,2,2.4,5,14.399999999999999
38,stl#User:fills out relevant information->User:fills out relevant information->fills out relevant information:generates posting identification data->generates posting identification data:Posting is created in the system->Posting is created in the system:generates a message to inform the User ->generates a message to inform the User :Homepage,Create Posting,CTRL;EXTCLL;INT,6,2,2.6,5,15.600000000000001
39,stl#User:selects Export Report->User:selects Export Report->selects Export Report:outputs its Hiring Data in a readable format->outputs its Hiring Data in a readable format:Posting db,Create reports,CTRL;EXTCLL;DM;EI,4,1,2.6666666666666665,3,10.666666666666666
40,stl#User:selects Export Report->User:selects Export Report->selects Export Report:outputs its Hiring Data in a readable format->outputs its Hiring Data in a readable format:Homepage,Create reports,CTRL;EXTCLL;INT,4,1,3,3,12
41,stl#User:selects an appropriate time period to look for data->User:selects an appropriate time period to look for data->selects an appropriate time period to look for data:returns data from the time period->returns data from the time period:outputs its Hiring Data in a readable format->outputs its Hiring Data in a readable format:Posting db,Create reports,TRAN_NA,5,1,1.75,4,8.75
42,stl#User:selects an appropriate time period to look for data->User:selects an appropriate time period to look for data->selects an appropriate time period to look for data:returns data from the time period->returns data from the time period:outputs its Hiring Data in a readable format->outputs its Hiring Data in a readable format:Homepage,Create reports,TRAN_NA,5,1,2,4,10
43,stl#User:click delete button->User:click delete button->click delete button:removes the posting from online view->removes the posting from online view:posting db,Delete Employee Account,CTRL;EXTCLL;DM;EI,4,1,3.3333333333333335,3,13.333333333333334
44,stl#User:click delete button->User:click delete button->click delete button:removes the posting from online view->removes the posting from online view:informs User of the successful post deletion->informs User of the successful post deletion:Homepage,Delete Employee Account,TRAN_NA,5,1,3,4,15
45,stl#User:click delete button->User:click delete button->click delete button:archives the posting ->archives the posting :removes the posting from online view->removes the posting from online view:posting db,Delete Employee Account,TRAN_NA,5,1,4,4,20
46,stl#User:click delete button->User:click delete button->click delete button:archives the posting ->archives the posting :removes the posting from online view->removes the posting from online view:informs User of the successful post deletion->informs User of the successful post deletion:Homepage,Delete Employee Account,TRAN_NA,6,1,3.6,5,21.6
47,stl#User:selects the appropriate posting->User:selects the appropriate posting->selects the appropriate posting:archives the posting ->archives the posting :removes the posting from online view->removes the posting from online view:posting db,Delete Employee Account,TRAN_NA,5,1,4,4,20
48,stl#User:selects the appropriate posting->User:selects the appropriate posting->selects the appropriate posting:archives the posting ->archives the posting :removes the posting from online view->removes the posting from online view:informs User of the successful post deletion->informs User of the successful post deletion:Homepage,Delete Employee Account,TRAN_NA,6,1,3.6,5,21.6
49,stl#User:Delete Posting Page->User:Delete Posting Page->Delete Posting Page:Delete Posting information->Delete Posting information:Show confirmation page->Show confirmation page:Posting db,Delete Posting,CTRL;EXTCLL;DM;EI,5,3,1.5,4,7.5
50,stl#User:Delete Posting Page->User:Delete Posting Page->Delete Posting Page:Delete Posting information->Delete Posting information:Show confirmation page->Show confirmation page:Homepage,Delete Posting,CTRL;EXTCLL;INT,5,3,1.75,4,8.75
51,stl#User:Delete Posting Page->User:Delete Posting Page->Delete Posting Page:Delete Posting information->Delete Posting information:Show confirmation page->Show confirmation page:Delete Posting Page->Delete Posting Page:Delete Posting information,Delete Posting,CTRL,6,4,1.8,5,10.8
52,stl#User:Edit Application Status Page->User:Edit Application Status Page->Edit Application Status Page:Edit Applications information->Edit Applications information:Show confirmation page->Show confirmation page:Homepage,Edit Application Status,TRAN_NA,5,2,2.5,4,12.5
53,stl#User:Edit Application Status Page->User:Edit Application Status Page->Edit Application Status Page:Edit Applications information->Edit Applications information:Show confirmation page->Show confirmation page:Edit Application Status Page->Edit Application Status Page:Edit Applications information,Edit Application Status,TRAN_NA,6,2,2.2,5,13.200000000000001
54,stl#User:Edit Application Status Page->User:Edit Application Status Page->Edit Application Status Page:Edit Applications information->Edit Applications information:Show confirmation page->Show confirmation page:Application db,Edit Application Status,TRAN_NA,5,2,2.25,4,11.25
55,stl#User:select the appropriate posting and view  profile->User:select the appropriate posting and view  profile->select the appropriate posting and view  profile:returns the correct applicant->returns the correct applicant:modifies the Applicant profile to reflect User's change->modifies the Applicant profile to reflect User's change:Homepage,Edit Application Status,CTRL;EXTCLL;INT,5,1,3.25,4,16.25
56,stl#User:marks the user as either qualified unqualified or processing->User:marks the user as either qualified unqualified or processing->marks the user as either qualified unqualified or processing:returns the correct applicant->returns the correct applicant:modifies the Applicant profile to reflect User's change->modifies the Applicant profile to reflect User's change:Homepage,Edit Application Status,TRAN_NA,5,2,3.25,4,16.25
57,stl#User:View Application Page->User:View Application Page->View Application Page:Choose Applications->Choose Applications:Show confirmation page->Show confirmation page:View Application Page->View Application Page:Choose Applications,Edit Posting,TRAN_NA,6,3,2,5,12
58,stl#User:View Application Page->User:View Application Page->View Application Page:Choose Applications->Choose Applications:Show confirmation page->Show confirmation page:Homepage,Edit Posting,TRAN_NA,5,2,2.75,4,13.75
59,stl#User:selects the appropriate posting and clicks Edit->User:selects the appropriate posting and clicks Edit->selects the appropriate posting and clicks Edit:retrieves the posting selected->retrieves the posting selected:modifies posting identification data->modifies posting identification data:Changes are saved in the system->Changes are saved in the system:Posting db,Edit Posting,CTRL;EXTCLL;DM;EI,6,1,3.2,5,19.200000000000003
60,stl#User:selects the appropriate posting and clicks Edit->User:selects the appropriate posting and clicks Edit->selects the appropriate posting and clicks Edit:retrieves the posting selected->retrieves the posting selected:modifies posting identification data->modifies posting identification data:Changes are saved in the system->Changes are saved in the system:generates a message to inform the User->generates a message to inform the User:Homepage,Edit Posting,CTRL;EXTCLL;INT,7,2,3.3333333333333335,6,23.333333333333336
61,stl#User:selects the appropriate posting and clicks Edit->User:selects the appropriate posting and clicks Edit->selects the appropriate posting and clicks Edit:retrieves the posting selected->retrieves the posting selected:Show confirmation page->Show confirmation page:selects the appropriate posting and clicks Edit->selects the appropriate posting and clicks Edit:retrieves the posting selected,Edit Posting,CTRL,6,2,3.6,5,21.6
62,stl#User:selects the appropriate posting and clicks Edit->User:selects the appropriate posting and clicks Edit->selects the appropriate posting and clicks Edit:retrieves the posting selected->retrieves the posting selected:Show confirmation page->Show confirmation page:Posting db,Edit Posting,CTRL;EXTCLL;DM;EI,5,2,3,4,15
63,stl#User:selects the appropriate posting and clicks Edit->User:selects the appropriate posting and clicks Edit->selects the appropriate posting and clicks Edit:retrieves the posting selected->retrieves the posting selected:Show confirmation page->Show confirmation page:Homepage,Edit Posting,CTRL;EXTCLL;INT,5,2,3.75,4,18.75
64,stl#User:fills out relevant information about the posting->User:fills out relevant information about the posting->fills out relevant information about the posting:modifies posting identification data->modifies posting identification data:Changes are saved in the system->Changes are saved in the system:Posting db,Edit Posting,CTRL;EXTCLL;DM;EI,5,0,2.25,4,11.25
