id,element,useCase,type,component
1,User:Homepage,Advanced search,boundary,Message Context
2,User:Search  page,Advanced search,boundary,Search Component
3,Confirmation page:Homepage,Advanced search,boundary,Message Context
4,Confirmation page:Search  page,Advanced search,boundary,Search Component
5,Select Country and State item and click Search Button:Confirmation page,Advanced search,control,Collaboration Graph
6,Search  page:Select Country and State item and click Search Button,Advanced search,control,System Boundary
7,stl#User:Homepage,Advanced search,Stimulus,undefined
8,stl#User:Search  page,Advanced search,Stimulus,undefined
9,User:Comment  page,Comment on post,boundary,Comment
10,User:Homepage,Comment on post,boundary,Message Context
11,Comment  page:Compose the comment and click post button,Comment on post,control,Post / Comment SubComponent
12,Confirmation page:Comment  page,Comment on post,boundary,Comment
13,Compose the comment and click post button:Confirmation page,Comment on post,control,Collaboration Graph
14,Confirmation page:Homepage,Comment on post,boundary,Message Context
15,stl#User:Comment  page,Comment on post,Stimulus,undefined
16,stl#User:Homepage,Comment on post,Stimulus,undefined
17,User:Homepage,Login,boundary,Message Context
18,User:Login page,Login,boundary,Messaging system
19,Confirmation page:Login page,Login,boundary,Messaging system
20,Confirmation page:Homepage,Login,boundary,Message Context
21,Validate username and password:Confirmation page,Login,control,Collaboration Graph
22,Login page:Validate username and password,Login,control,PubMed Database (External Component)
23,stl#User:Homepage,Login,Stimulus,undefined
24,stl#User:Login page,Login,Stimulus,undefined
25,User:Homepage,Logout,boundary,Logoutpage
26,User:Logout  page,Logout,boundary,Logoutpage
27,Confirmation page:Homepage,Logout,boundary,Logoutpage
28,Confirmation page:Logout  page,Logout,boundary,Logoutpage
29,Validate username and password:Confirmation page,Logout,control,Collaboration Graph
30,Logout  page:Validate username and password,Logout,control,PubMed Database (External Component)
31,stl#User:Homepage,Logout,Stimulus,undefined
32,stl#User:Logout  page,Logout,Stimulus,undefined
33,User:post page,Post,boundary,Post
34,User:Homepage,Post,boundary,Logoutpage
35,Compose the message the user wants to post:Confirmation page,Post,control,Collaboration Graph
36,post page:Compose the message the user wants to post,Post,control,View Message History SubComponent 
37,Confirmation page:Homepage,Post,boundary,Logoutpage
38,Confirmation page:post page,Post,boundary,Post
39,stl#User:post page,Post,Stimulus,undefined
40,stl#User:Homepage,Post,Stimulus,undefined
41,User:Homepage,Receive private message,boundary,Logoutpage
42,User:Receivr  private message page,Receive private message,boundary,Send / Receive Message SubComponent
43,Confirmation page:Homepage,Receive private message,boundary,Logoutpage
44,Confirmation page:Receivr  private message page,Receive private message,boundary,Send / Receive Message SubComponent
45,input a message:Confirmation page,Receive private message,control,Collaboration Graph
46,Receivr  private message page:input a message,Receive private message,boundary,Message Context
47,stl#User:Homepage,Receive private message,Stimulus,undefined
48,stl#User:Receivr  private message page,Receive private message,Stimulus,undefined
49,User:Homepage,Search,boundary,Message Context
50,User:Search page,Search,boundary,Search Component
51,Confirmation page:Homepage,Search,boundary,Message Context
52,Confirmation page:Search page,Search,boundary,Search Component
53,Input a word:Confirmation page,Search,control,Collaboration Graph
54,Search page:Input a word,Search,control,Inputaword
55,stl#User:Homepage,Search,Stimulus,undefined
56,stl#User:Search page,Search,Stimulus,undefined
57,User:Search keyword page,Search by keywords,boundary,Search By Keyword SubComponent
58,User:Homepage,Search by keywords,boundary,Message Context
59,Confirmation page:Search keyword page,Search by keywords,boundary,Search By Keyword SubComponent
60,Confirmation page:Homepage,Search by keywords,boundary,Message Context
61,Input a keyword:Confirmation page,Search by keywords,control,Collaboration Graph
62,Search keyword page:Input a keyword,Search by keywords,control,Inputaword
63,stl#User:Search keyword page,Search by keywords,Stimulus,undefined
64,stl#User:Homepage,Search by keywords,Stimulus,undefined
65,User:Search name page,Search by names,boundary,Search By Name SubComponent
66,User:Homepage,Search by names,boundary,Message Context
67,Confirmation page:Homepage,Search by names,boundary,Message Context
68,Confirmation page:Search name page,Search by names,boundary,Search By Name SubComponent
69,Input a name:Confirmation page,Search by names,control,Collaboration Graph
70,Search name page:Input a name,Search by names,control,Inputaword
71,stl#User:Search name page,Search by names,Stimulus,undefined
72,stl#User:Homepage,Search by names,Stimulus,undefined
73,User:Homepage,Send private message,boundary,Message Context
74,User:Send private  page,Send private message,boundary,Send / Receive Message SubComponent
75,Compose the message designate the receiver :Confirmation page,Send private message,control,Collaboration Graph
76,Send private  page:Compose the message designate the receiver ,Send private message,boundary,Send / Receive Message SubComponent
77,Confirmation page:Send private  page,Send private message,boundary,Send / Receive Message SubComponent
78,Confirmation page:Homepage,Send private message,boundary,Message Context
79,stl#User:Homepage,Send private message,Stimulus,undefined
80,stl#User:Send private  page,Send private message,Stimulus,undefined
81,User:Homepage,Upload CV,boundary,Message Context
82,User:Upload cv page,Upload CV,boundary,Upload CV Component
83,Click the Browse button locate the CV :Confirmation page,Upload CV,control,Collaboration Graph
84,Upload cv page:Click the Browse button locate the CV ,Upload CV,control,$help://use_case_model_pattern.htm
85,Confirmation page:Upload cv page,Upload CV,boundary,Upload CV Component
86,Confirmation page:Homepage,Upload CV,boundary,Message Context
87,stl#User:Homepage,Upload CV,Stimulus,undefined
88,stl#User:Upload cv page,Upload CV,Stimulus,undefined
89,User:View ariticles page,View articles,boundary,View Articles Component
90,User:Homepage,View articles,boundary,Message Context
91,Choose one of articles and Click the View button:Confirmation page,View articles,control,Collaboration Graph
92,View ariticles page:Choose one of articles and Click the View button,View articles,boundary,View Articles Component
93,Confirmation page:View ariticles page,View articles,boundary,View Articles Component
94,Confirmation page:Homepage,View articles,boundary,Message Context
95,stl#User:View ariticles page,View articles,Stimulus,undefined
96,stl#User:Homepage,View articles,Stimulus,undefined
97,User:View collaboration graph page,View collaboration graph,control,Collaboration Graph
98,User:Homepage,View collaboration graph,boundary,Message Context
99,Choose one of graph and Click the View button:Confirmation page,View collaboration graph,control,Collaboration Graph
100,View collaboration graph page:Choose one of graph and Click the View button,View collaboration graph,control,View Collaboration Graph Component 
101,Confirmation page:View collaboration graph page,View collaboration graph,control,Collaboration Graph
102,Confirmation page:Homepage,View collaboration graph,boundary,Message Context
103,stl#User:View collaboration graph page,View collaboration graph,Stimulus,undefined
104,stl#User:Homepage,View collaboration graph,Stimulus,undefined
105,User:Homepage,View message history,boundary,Message Context
