id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#User:user information page->User:user information page->user information page:check the status of user->check the status of user:activate user status->activate user status:user info,activate user,5,0,2,2,0
2,stl#User:user information page->User:user information page->user information page:check the status of user->check the status of user:activate user status->activate user status:status chage success message,activate user,5,1,2,1,0
3,stl#User:user information page->User:user information page->user information page:check the status of user->check the status of user:wrong action message,activate user,4,1,1,1,0
4,stl#User:"Use Management" button->User:"Use Management" button->"Use Management" button:validate the role of user->validate the role of user:return to the user information page->return to the user information page:user information page->user information page:check the status of user->check the status of user:activate user status->activate user status:user info,activate user,8,2,3,2,0
5,stl#User:"Use Management" button->User:"Use Management" button->"Use Management" button:validate the role of user->validate the role of user:return to the user information page->return to the user information page:user information page->user information page:check the status of user->check the status of user:activate user status->activate user status:status chage success message,activate user,8,3,3,1,0
6,stl#User:"Use Management" button->User:"Use Management" button->"Use Management" button:validate the role of user->validate the role of user:return to the user information page->return to the user information page:user information page->user information page:check the status of user->check the status of user:wrong action message,activate user,7,3,2,1,0
7,stl#User:"Use Management" button->User:"Use Management" button->"Use Management" button:validate the role of user->validate the role of user:role validation failed message,activate user,4,3,0,0,0
8,stl#User:"Use Management" button->User:"Use Management" button->"Use Management" button:validate the role of user->validate the role of user:user info,activate user,4,2,0,1,0
9,stl#User:role validation failed message->User:role validation failed message,activate user,2,1,0,0,0
10,stl#User:wrong action message->User:wrong action message,activate user,2,1,0,0,0
11,stl#User:status chage success message->User:status chage success message,activate user,2,1,0,0,0
