id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:update the case information page->User:update the case information page,upload document,CTRL;EXTCLL;INT,2,0,2,1,4
2,stl#User:document upload page->User:document upload page->document upload page:validate information of description->validate information of description:invalid description message,upload document,TRAN_NA,4,1,3.3333333333333335,3,13.333333333333334
3,stl#User:document upload page->User:document upload page->document upload page:validate information of description->validate information of description:insert document into document db->insert document into document db:update the case information page,upload document,TRAN_NA,5,1,3,4,15
4,stl#User:document upload page->User:document upload page->document upload page:validate information of description->validate information of description:insert document into document db->insert document into document db:document db,upload document,TRAN_NA,5,0,3.5,4,17.5
5,stl#User:add vew button->User:add vew button->add vew button:validate the role of user->validate the role of user:user,upload document,TRAN_NA,4,1,1,3,4
6,stl#User:add vew button->User:add vew button->add vew button:validate the role of user->validate the role of user:unauthorized action message,upload document,TRAN_NA,4,0,2,3,8
7,stl#User:add vew button->User:add vew button->add vew button:validate the role of user->validate the role of user:document upload page->document upload page:validate information of description->validate information of description:invalid description message,upload document,TRAN_NA,6,1,2.4,5,14.399999999999999
8,stl#User:add vew button->User:add vew button->add vew button:validate the role of user->validate the role of user:document upload page->document upload page:validate information of description->validate information of description:insert document into document db->insert document into document db:update the case information page,upload document,TRAN_NA,7,1,2.3333333333333335,6,16.333333333333336
9,stl#User:add vew button->User:add vew button->add vew button:validate the role of user->validate the role of user:document upload page->document upload page:validate information of description->validate information of description:insert document into document db->insert document into document db:document db,upload document,TRAN_NA,7,0,2.6666666666666665,6,18.666666666666664
10,stl#User:invalid description message->User:invalid description message,upload document,CTRL;EXTCLL;INT,2,0,4,1,8
11,stl#User:unauthorized action message->User:unauthorized action message,upload document,CTRL;EXTCLL;INT,2,1,4,1,8
