id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:success message->User:success message,Create a limited user_admin,CTRL;EXTCLL;INT,2,0,2,1,4
2,stl#User:role validation failed message->User:role validation failed message->role validation failed message:validation failed message,Create a limited user_admin,CTRL,3,0,9,2,27
3,stl#User:user information page->User:user information page->user information page:insert the new username and password into the user db->insert the new username and password into the user db:user info,Create a limited user_admin,CTRL;EXTCLL;DM;EI,4,1,5.333333333333333,3,21.333333333333332
4,stl#User:user information page->User:user information page->user information page:insert the new username and password into the user db->insert the new username and password into the user db:return generate success message->return generate success message:success message,Create a limited user_admin,CTRL;EXTCLL;INT,5,1,4.25,4,21.25
5,stl#User:validation failed message->User:validation failed message,Create a limited user_admin,CTRL,2,0,9,1,18
6,stl#User:"create user" button->User:"create user" button->"create user" button:validate the role of user->validate the role of user:user info,Create a limited user_admin,CTRL;EXTCLL;DM;EI,4,1,3.3333333333333335,3,13.333333333333334
7,stl#User:"create user" button->User:"create user" button->"create user" button:validate the role of user->validate the role of user:role validation failed message->role validation failed message:validation failed message,Create a limited user_admin,CTRL,5,0,6,4,30
8,stl#User:"create user" button->User:"create user" button->"create user" button:validate the role of user->validate the role of user:generate a random password for the username->generate a random password for the username:user information page->user information page:insert the new username and password into the user db->insert the new username and password into the user db:user info,Create a limited user_admin,CTRL;EXTCLL;DM;EI,7,2,4.166666666666667,6,29.166666666666668
9,stl#User:"create user" button->User:"create user" button->"create user" button:validate the role of user->validate the role of user:generate a random password for the username->generate a random password for the username:user information page->user information page:insert the new username and password into the user db->insert the new username and password into the user db:return generate success message->return generate success message:success message,Create a limited user_admin,CTRL;EXTCLL;INT,8,2,3.7142857142857144,7,29.714285714285715
10,stl#User:"create user" button->User:"create user" button->"create user" button:validate the role of user->validate the role of user:generate a random password for the username->generate a random password for the username:insert the new username and password into the user db->insert the new username and password into the user db:user info,Create a limited user_admin,CTRL;EXTCLL;DM;EI,6,1,3.2,5,19.200000000000003
11,stl#User:"create user" button->User:"create user" button->"create user" button:validate the role of user->validate the role of user:generate a random password for the username->generate a random password for the username:insert the new username and password into the user db->insert the new username and password into the user db:return generate success message->return generate success message:success message,Create a limited user_admin,CTRL;EXTCLL;INT,7,1,2.8333333333333335,6,19.833333333333336
12,stl#User:file download interface->User:file download interface,Create a limited user_admin,CTRL;EXTCLL;INT,2,0,4,1,8
13,stl#User:validation failed message->User:validation failed message,Create a limited user_admin,CTRL,2,0,9,1,18
14,stl#User:specific document record->User:specific document record->specific document record:validate the role of users->validate the role of users:validation failed message,Create a limited user_admin,TRAN_NA,4,0,5.333333333333333,3,21.333333333333332
15,stl#User:specific document record->User:specific document record->specific document record:validate the role of users->validate the role of users:user,Create a limited user_admin,TRAN_NA,4,1,3.6666666666666665,3,14.666666666666666
16,stl#User:specific document record->User:specific document record->specific document record:validate the role of users->validate the role of users:download the document->download the document:file download interface,Create a limited user_admin,TRAN_NA,5,1,3.75,4,18.75
