id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Activity,0,0,229,0,0,0
2,Administration,0,0,229,0,0,2
3,Case Management,0,0,0,0,0,0
4,Case Manager,1,1,2,0,1,1
5,Case information,0,0,0,0,0,0
6,Document upload,0,0,0,0,0,0
7,General User,0,0,0,0,0,1
8,Limited User,0,0,0,0,0,1
9,Rest password,0,0,0,0,0,0
10,Use information,0,0,0,0,0,0
11,User,3,3,7,0,4,0
12,User management,0,0,0,0,0,0
13,$help://actor.htm,0,0,0,0,0,0
14,$help://use_case_model_pattern.htm,0,0,0,0,0,0
15,$help://usecasediagram.htm,0,0,0,0,0,0
16,System Boundary,0,0,0,0,0,0
17,reportbutton,0,0,0,0,0,0
18,descriptionshouldnotbeblankmessage,0,0,0,0,0,0
