id,element,useCase,type,component
1,User:specific document record,Create a limited user_admin,boundary,Document upload
2,User:validation failed message,Create a limited user_admin,control,Use information
3,User:file download interface,Create a limited user_admin,boundary,Document upload
4,User:"create user" button,Create a limited user_admin,control,Limited User
5,User:validation failed message,Create a limited user_admin,control,Use information
6,User:user information page,Create a limited user_admin,control,Use information
7,User:role validation failed message,Create a limited user_admin,control,Use information
8,User:success message,Create a limited user_admin,boundary,Case Management
9,"create user" button:validate the role of user,Create a limited user_admin,control,Limited User
10,download the document:file download interface,Create a limited user_admin,boundary,Document upload
11,validate the role of users:download the document,Create a limited user_admin,boundary,Document upload
12,generate a random password for the username:insert the new username and password into the user db,Create a limited user_admin,control,Rest password
13,generate a random password for the username:user information page,Create a limited user_admin,control,Use information
14,validate the role of user:generate a random password for the username,Create a limited user_admin,control,General User
15,insert the new username and password into the user db:return generate success message,Create a limited user_admin,control,General User
16,insert the new username and password into the user db:user info,Create a limited user_admin,entity,User
17,user information page:insert the new username and password into the user db,Create a limited user_admin,control,Rest password
18,return generate success message:success message,Create a limited user_admin,boundary,Case Management
19,role validation failed message:validation failed message,Create a limited user_admin,control,Use information
20,validate the role of user:role validation failed message,Create a limited user_admin,control,Use information
21,specific document record:validate the role of users,Create a limited user_admin,control,Limited User
22,validate the role of users:user,Create a limited user_admin,entity,User
23,validate the role of user:user info,Create a limited user_admin,entity,User
24,validate the role of users:validation failed message,Create a limited user_admin,control,Use information
25,stl#User:specific document record,Create a limited user_admin,Stimulus,undefined
26,stl#User:validation failed message,Create a limited user_admin,Stimulus,undefined
27,stl#User:file download interface,Create a limited user_admin,Stimulus,undefined
28,stl#User:"create user" button,Create a limited user_admin,Stimulus,undefined
29,stl#User:validation failed message,Create a limited user_admin,Stimulus,undefined
30,stl#User:user information page,Create a limited user_admin,Stimulus,undefined
31,stl#User:role validation failed message,Create a limited user_admin,Stimulus,undefined
32,stl#User:success message,Create a limited user_admin,Stimulus,undefined
33,User:validation failed message,Create new case,control,Use information
34,User:Insert success message,Create new case,boundary,User management
35,User:case information page,Create new case,boundary,Case information
36,User:validation failed message,Create new case,control,Use information
37,User:Create new case button,Create new case,boundary,Case information
38,print the document:printer,Create new case,control,Limited User
39,Create new case button:validate the role of users,Create new case,control,Limited User
40,Insert success message:print the document,Create new case,boundary,Document upload
41,insert case into case database:Insert success message,Create new case,boundary,User management
42,insert case into case database:case information,Create new case,boundary,Case information
43,case information page:validate the ifnoramtion from case information page,Create new case,boundary,Case information
44,validate the role of users:case information page,Create new case,boundary,Case information
45,validate the ifnoramtion from case information page:insert case into case database,Create new case,boundary,Case information
46,validate the role of users:user,Create new case,entity,User
47,validate the ifnoramtion from case information page:user,Create new case,entity,User
