id,element,useCase,type,component
1,User:add success information,Manage JEP Documents,control,checkconflictsituation
2,User:"Documents" link,Manage JEP Documents,control,downloaddocument
3,User:students page,Manage JEP Documents,entity,HomePage PA
4,User:invalid format document message,Manage JEP Documents,control,MessageManage Page
5,User:success message,Manage JEP Documents,control,MessageManage Page
6,User:Display usc Id empty error,Manage JEP Documents,boundary,emptyannouncementform
7,User:USC ID existing error,Manage JEP Documents,boundary,adduserintodb
8,User:document upload panel,Manage JEP Documents,control,downloaddocument
9,User:file descirption page,Manage JEP Documents,entity,MessageController
10,"Documents" link:display a page that contents a form for uploading documents,Manage JEP Documents,control,downloaddocument
11,check format of document:Display usc Id empty error,Manage JEP Documents,boundary,emptyannouncementform
12,check format of document:USC ID existing error,Manage JEP Documents,boundary,adduserintodb
13,add student info:user management,Manage JEP Documents,control,MessageManage Page
14,add student info:add success information,Manage JEP Documents,control,checkconflictsituation
15,students page:add student info,Manage JEP Documents,boundary,adduserintodb
16,check format of document:save document into server,Manage JEP Documents,control,downloaddocument
17,check format of document:invalid format document message,Manage JEP Documents,control,MessageManage Page
18,file descirption page:check format of document,Manage JEP Documents,control,downloaddocument
19,delete document:local storage,Manage JEP Documents,entity,HomePage PA
20,save document into server:delete document,Manage JEP Documents,control,downloaddocument
21,display a page that contents a form for uploading documents:document upload panel,Manage JEP Documents,control,downloaddocument
22,display document detail page:user management,Manage JEP Documents,control,MessageManage Page
23,display document detail page:file descirption page,Manage JEP Documents,entity,MessageController
24,document upload panel:display document detail page,Manage JEP Documents,control,downloaddocument
25,display students page:students page,Manage JEP Documents,entity,HomePage PA
26,display success message:display students page,Manage JEP Documents,entity,HomePage PA
27,display success message:success message,Manage JEP Documents,control,MessageManage Page
28,save document into server:display success message,Manage JEP Documents,control,MessageManage Page
29,save document into server:download document,Manage JEP Documents,control,downloaddocument
30,save document into server:local storage,Manage JEP Documents,entity,HomePage PA
31,stl#User:add success information,Manage JEP Documents,Stimulus,undefined
32,stl#User:"Documents" link,Manage JEP Documents,Stimulus,undefined
33,stl#User:students page,Manage JEP Documents,Stimulus,undefined
34,stl#User:invalid format document message,Manage JEP Documents,Stimulus,undefined
35,stl#User:success message,Manage JEP Documents,Stimulus,undefined
36,stl#User:Display usc Id empty error,Manage JEP Documents,Stimulus,undefined
37,stl#User:USC ID existing error,Manage JEP Documents,Stimulus,undefined
38,stl#User:document upload panel,Manage JEP Documents,Stimulus,undefined
39,stl#User:file descirption page,Manage JEP Documents,Stimulus,undefined
