id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,HomePage PA,0,5,0,1,0,0.3,0,0,0,0,0,true,0,0,0,293,293,0,0,0,293
2,HomePageAdmin,0,5,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,MessageController,3,10,3,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,MessageManage Page,0,8,0,2,0,0.3,0,0,0,0,0,true,0,0,293,0,293,0,0,0,293
5,Staff,10,10,10,10,10,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,$help://usecasediagram.htm,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,$help://actor.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,$help://use_case_model_pattern.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,System Boundary,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,checktheexistenceschedule,0,4,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,checkconflictsituation,0,13,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,emptyannouncementform,0,8,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
13,adduserintodb,0,9,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
14,viewlink,0,3,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
