id,element,useCase,type,component
1,Weight loser:goal has some sponsors,delete goal,boundary,Sponsor
2,Weight loser:delete goal button on goal track page,delete goal,boundary,TrackGoal
3,Weight loser:Confirmation Window,delete goal,control,DonationPage
4,shows confirmation:Confirmation Window,delete goal,control,DonationPage
5,check that goal has no sponsor:sponsor info,delete goal,boundary,Sponsor
6,check that goal has no sponsor:goal has some sponsors,delete goal,boundary,Sponsor
7,check that goal has no sponsor:shows confirmation,delete goal,control,DonationPage
8,delete goal button on goal track page:check that goal has no sponsor,delete goal,boundary,Sponsor
9,stl#Weight loser:goal has some sponsors,delete goal,Stimulus,undefined
10,stl#Weight loser:delete goal button on goal track page,delete goal,Stimulus,undefined
11,stl#Weight loser:Confirmation Window,delete goal,Stimulus,undefined
