id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#User:Compiling progress bar->User:Compiling progress bar,Compile,2,1,0,0,0
2,stl#User:Compiling success message->User:Compiling success message,Compile,2,1,0,0,0
3,stl#User:Build button->User:Build button->Build button:compile C/C++->compile C/C++:Compiling progress bar,Compile,4,3,0,0,0
4,stl#User:Build button->User:Build button->Build button:compile C/C++->compile C/C++:Compiling success message,Compile,4,3,0,0,0
5,stl#User:Build button->User:Build button->Build button:compile C/C++->compile C/C++:WinAVR,Compile,4,2,0,0,1
6,stl#User:parameter set dialog->User:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:Program is updated message,Create Navigation Instructions,5,4,0,0,0
7,stl#User:parameter set dialog->User:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:instructions,Create Navigation Instructions,5,3,1,0,0
8,stl#User:Program is updated message->User:Program is updated message,Create Navigation Instructions,2,1,0,0,0
9,stl#User:navigation instruction create panel->User:navigation instruction create panel->navigation instruction create panel:display the dragged and dropped navigation instructions->display the dragged and dropped navigation instructions:popup parameter change dialog->popup parameter change dialog:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:Program is updated message,Create Navigation Instructions,8,5,2,0,0
10,stl#User:navigation instruction create panel->User:navigation instruction create panel->navigation instruction create panel:display the dragged and dropped navigation instructions->display the dragged and dropped navigation instructions:popup parameter change dialog->popup parameter change dialog:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:instructions,Create Navigation Instructions,8,4,3,0,0
11,stl#User:light instruction create panel->User:light instruction create panel->light instruction create panel:display the dragged and dropped instructions->display the dragged and dropped instructions:popup parameter change dialog->popup parameter change dialog:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:Program is updated message,Create light instructions,8,1,6,0,0
12,stl#User:light instruction create panel->User:light instruction create panel->light instruction create panel:display the dragged and dropped instructions->display the dragged and dropped instructions:popup parameter change dialog->popup parameter change dialog:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:light,Create light instructions,8,0,6,1,0
13,stl#User:parameter set dialog->User:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:Program is updated message,Create light instructions,5,1,3,0,0
14,stl#User:parameter set dialog->User:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:light,Create light instructions,5,0,3,1,0
15,stl#User:Program is updated message->User:Program is updated message,Create light instructions,2,1,0,0,0
16,stl#User:Program is updated message->User:Program is updated message,Create sensor instructions,2,1,0,0,0
17,stl#User:sensor instruction create panel->User:sensor instruction create panel->sensor instruction create panel:display the dragged and dropped instructions->display the dragged and dropped instructions:popup parameter change dialog->popup parameter change dialog:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:Program is updated message,Create sensor instructions,8,1,6,0,0
18,stl#User:sensor instruction create panel->User:sensor instruction create panel->sensor instruction create panel:display the dragged and dropped instructions->display the dragged and dropped instructions:popup parameter change dialog->popup parameter change dialog:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:sensor,Create sensor instructions,8,0,6,1,0
19,stl#User:parameter set dialog->User:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:Program is updated message,Create sensor instructions,5,1,3,0,0
20,stl#User:parameter set dialog->User:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:sensor,Create sensor instructions,5,0,3,1,0
21,stl#User:sound instruction create panel->User:sound instruction create panel->sound instruction create panel:display the dragged and dropped instructions->display the dragged and dropped instructions:popup parameter change dialog->popup parameter change dialog:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:Program is updated message,Create sound instructions,8,1,6,0,0
22,stl#User:sound instruction create panel->User:sound instruction create panel->sound instruction create panel:display the dragged and dropped instructions->display the dragged and dropped instructions:popup parameter change dialog->popup parameter change dialog:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:sound,Create sound instructions,8,0,6,1,0
23,stl#User:Program is updated message->User:Program is updated message,Create sound instructions,2,1,0,0,0
24,stl#User:parameter set dialog->User:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:Program is updated message,Create sound instructions,5,1,3,0,0
25,stl#User:parameter set dialog->User:parameter set dialog->parameter set dialog:change the parameters of the elements->change the parameters of the elements:save parameters->save parameters:sound,Create sound instructions,5,0,3,1,0
26,stl#User:demo instruction create panel->User:demo instruction create panel->demo instruction create panel:display the dragged and dropped demo instructions->display the dragged and dropped demo instructions:popup demo change dialog->popup demo change dialog:demo selector->demo selector:change the parameters of the elements->change the parameters of the elements:save demo instructions->save demo instructions:demo,Demo,8,1,6,0,0
27,stl#User:demo instruction create panel->User:demo instruction create panel->demo instruction create panel:display the dragged and dropped demo instructions->display the dragged and dropped demo instructions:popup demo change dialog->popup demo change dialog:demo selector->demo selector:change the parameters of the elements->change the parameters of the elements:save demo instructions->save demo instructions:demo is saved message,Demo,8,1,6,0,0
28,stl#User:demo instruction create panel->User:demo instruction create panel->demo instruction create panel:display the dragged and dropped demo instructions->display the dragged and dropped demo instructions:popup demo change dialog->popup demo change dialog:demo selector->demo selector:save demo instructions->save demo instructions:demo,Demo,7,1,5,0,0
29,stl#User:demo instruction create panel->User:demo instruction create panel->demo instruction create panel:display the dragged and dropped demo instructions->display the dragged and dropped demo instructions:popup demo change dialog->popup demo change dialog:demo selector->demo selector:save demo instructions->save demo instructions:demo is saved message,Demo,7,1,5,0,0
30,stl#User:demo selector->User:demo selector->demo selector:change the parameters of the elements->change the parameters of the elements:save demo instructions->save demo instructions:demo,Demo,5,1,3,0,0
31,stl#User:demo selector->User:demo selector->demo selector:change the parameters of the elements->change the parameters of the elements:save demo instructions->save demo instructions:demo is saved message,Demo,5,1,3,0,0
32,stl#User:demo selector->User:demo selector->demo selector:save demo instructions->save demo instructions:demo,Demo,4,1,2,0,0
33,stl#User:demo selector->User:demo selector->demo selector:save demo instructions->save demo instructions:demo is saved message,Demo,4,1,2,0,0
34,stl#User:demo is saved message->User:demo is saved message,Demo,2,1,0,0,0
35,stl#User:File selector->User:File selector->File selector:File,Loading the executable file,3,0,2,0,0
36,stl#User:File selector->User:File selector->File selector:Load program to microcontroller->Load program to microcontroller:Display compiling message->Display compiling message:Compiling success message,Loading the executable file,5,2,2,0,0
37,stl#User:Compiling success message->User:Compiling success message,Loading the executable file,2,1,0,0,0
38,stl#User:Load button->User:Load button->Load button:display file selector->display file selector:File selector->File selector:File,Loading the executable file,5,1,3,0,0
