NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,NI,NE,EXT,ERY,RED,WRT,SWTI,SWTII,SWTIII
1,Compile,5,10,1,7,6,0,0,0,0,2,0,2,0,2,3,2,8,3.5454545454545454,5.5,3,28.363636363636363,0,0,16,5,5,5,5,5,5,5,5.074,7.4468,5.928999999999999
2,Create Navigation Instructions,5,13,0,10,7,3,0,0,0,1,0,1,0,1,4,1,28,4.3478260869565215,23,2,121.7391304347826,0,0,18,5,5,5,5,5,5,5,5.074,16.2131,11.219
3,Create light instructions,5,13,0,10,2,7,1,2,0,3,2,5,0,5,0,5,5.6,2.608695652173913,4.6,2,14.608695652173912,0,0,21,5,5,5,5,5,5,5,5.074,9.448599999999999,7.619999999999999
4,Create sensor instructions,5,13,0,10,2,7,1,2,0,3,2,5,0,5,0,5,5.6,4.3478260869565215,4.6,2,24.34782608695652,0,0,21,5,5,5,5,5,5,5,5.074,16.2131,11.219
5,Create sound instructions,5,13,0,10,2,7,1,2,0,3,2,5,0,5,0,5,5.6,4.3478260869565215,4.6,2,24.34782608695652,0,0,21,5,5,5,5,5,5,5,5.074,16.213099999999997,11.219000000000001
6,Demo,9,14,0,11,3,8,0,0,0,9,0,9,0,9,0,9,5.555555555555555,3.048780487804878,4.555555555555555,2.2222222222222223,16.937669376693766,0,0,40,9,9,9,9,9,9,9,9.133199999999999,20.4299,14.025699999999999
7,Loading the executable file,6,13,1,10,4,5,0,0,0,1,0,2,0,1,4,2,13,3.4,10,3,44.199999999999996,0,0,21,6,6,6,6,6,6,6,6.0888,11.1917,8.7868
8,New/Open File,4,14,0,11,9,2,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,16,4,4,4,4,4,4,4,4.0592,20.0767,12.1217
9,Save File,5,12,0,9,0,9,0,0,0,0,0,5,0,0,0,5,4.8,5.157894736842105,3.8,1,24.757894736842104,0,0,15,5,5,5,5,5,5,5,5.074,18.7836,10.264999999999999
10,Translate to C,6,13,0,10,5,5,0,0,0,0,0,1,0,0,5,1,28,3.227272727272727,22,13,90.36363636363636,0,0,24,6,6,6,6,6,6,6,6.0888,10.458400000000001,7.9887999999999995
