id,element,useCase,type,component
1,User:login page,Login,boundary,loginpage
2,User:invalid input error message,Login,boundary,loginpage
3,User:error message for empty input,Login,control,precheckifinputisempty
4,pre-check if input is empty:error message for empty input,Login,control,precheckifinputisempty
5,pre-check if input is empty:invalid input error message,Login,boundary,loginpage
6,login page:pre-check if input is empty,Login,control,precheckifinputisempty
7,pre-check if input is empty:query authentication info,Login,control,user_location
8,query authentication info:user info,Login,entity,User
9,stl#User:login page,Login,Stimulus,undefined
10,stl#User:invalid input error message,Login,Stimulus,undefined
11,stl#User:error message for empty input,Login,Stimulus,undefined
