id,element,useCase,type,component
1,User:Edit profile button,Manage Profile,boundary,CustomerProfileController
2,User:existing profile error message,Manage Profile,control,FloristProfileController
3,User:successful change message,Manage Profile,boundary,successfulchangemessage
4,User:profile edit page,Manage Profile,control,FloristProfileController
5,User:invalid information error message,Manage Profile,control,OrderForm
6,Edit profile button:display profile edit page,Manage Profile,control,FloristProfileController
7,pre-check required fields:invalid information error message,Manage Profile,control,OrderForm
8,pre-check required fields:update profile entry,Manage Profile,control,FloristProfileController
9,profile edit page:pre-check required fields,Manage Profile,control,precheckrequiredfields
10,update profile entry:successful change message,Manage Profile,boundary,successfulchangemessage
11,update profile entry:user info,Manage Profile,entity,User
12,stl#User:Edit profile button,Manage Profile,Stimulus,undefined
13,stl#User:existing profile error message,Manage Profile,Stimulus,undefined
14,stl#User:successful change message,Manage Profile,Stimulus,undefined
15,stl#User:profile edit page,Manage Profile,Stimulus,undefined
16,stl#User:invalid information error message,Manage Profile,Stimulus,undefined
