id,element,useCase,type,component
1,User:not available error message,Add to cart,control,checkdbifavailable
2,User:add to cart button,Add to cart,control,location
3,add to cart:cart,Add to cart,control,cart
4,check db if available:add to cart,Add to cart,control,cart
5,add to cart button:check db if available,Add to cart,control,checkdbifavailable
6,check db if available:product,Add to cart,control,product
7,check db if available:not available error message,Add to cart,control,checkdbifavailable
8,stl#User:not available error message,Add to cart,Stimulus,undefined
9,stl#User:add to cart button,Add to cart,Stimulus,undefined
10,User:error message for empty input,Create profile,control,OrderForm
11,User:successful information for creation,Create profile,control,location
12,User:existing profile error message,Create profile,control,FloristProfileController
13,User:Create Profile Page,Create profile,control,FloristProfileController
14,Create Profile Page:pre-check if input is empty,Create profile,control,checkdbifavailable
15,pre-check if input is empty:error message for empty input,Create profile,control,OrderForm
16,pre-check if input is empty:existing profile error message,Create profile,control,FloristProfileController
17,pre-check if input is empty:send information in db,Create profile,control,user_location
18,pre-check if input is empty:successful information for creation,Create profile,control,location
19,send information in db:user info,Create profile,entity,User
20,stl#User:error message for empty input,Create profile,Stimulus,undefined
21,stl#User:successful information for creation,Create profile,Stimulus,undefined
22,stl#User:existing profile error message,Create profile,Stimulus,undefined
23,stl#User:Create Profile Page,Create profile,Stimulus,undefined
24,User:login page,Login,boundary,loginpage
25,User:invalid input error message,Login,boundary,loginpage
26,User:error message for empty input,Login,control,precheckifinputisempty
27,pre-check if input is empty:error message for empty input,Login,control,precheckifinputisempty
28,pre-check if input is empty:invalid input error message,Login,boundary,loginpage
29,login page:pre-check if input is empty,Login,control,precheckifinputisempty
30,pre-check if input is empty:query authentication info,Login,control,user_location
31,query authentication info:user info,Login,entity,User
32,stl#User:login page,Login,Stimulus,undefined
33,stl#User:invalid input error message,Login,Stimulus,undefined
34,stl#User:error message for empty input,Login,Stimulus,undefined
35,User:logout button,Logout,control,location
36,User:invalid input error message,Logout,boundary,loginpage
37,User:error message for empty input,Logout,control,precheckifinputisempty
38,query authentication info:Session,Logout,control,occasion
39,clear session:Session,Logout,control,occasion
40,clear session:error message for empty input,Logout,control,precheckifinputisempty
41,clear session:invalid input error message,Logout,boundary,loginpage
42,clear session:query authentication info,Logout,control,user_location
43,logout button:clear session,Logout,control,occasion
44,stl#User:logout button,Logout,Stimulus,undefined
45,stl#User:invalid input error message,Logout,Stimulus,undefined
46,stl#User:error message for empty input,Logout,Stimulus,undefined
47,florist:exceeded limit error message,Manage Catalog,boundary,OrderRepository
48,florist:catalog manage page,Manage Catalog,boundary,loginpage
49,florist:information is invalid,Manage Catalog,control,location
50,catalog manage page:pre-check if required information valid,Manage Catalog,control,precheckifinputisempty
51,save uploaded information to db:category,Manage Catalog,control,location
52,pre-check if required information valid:exceeded limit error message,Manage Catalog,boundary,OrderRepository
53,pre-check if required information valid:information is invalid,Manage Catalog,control,location
54,pre-check if required information valid:save uploaded information to db,Manage Catalog,control,location
55,stl#florist:exceeded limit error message,Manage Catalog,Stimulus,undefined
56,stl#florist:catalog manage page,Manage Catalog,Stimulus,undefined
57,stl#florist:information is invalid,Manage Catalog,Stimulus,undefined
58,User:Edit profile button,Manage Profile,boundary,CustomerProfileController
59,User:existing profile error message,Manage Profile,control,FloristProfileController
60,User:successful change message,Manage Profile,boundary,successfulchangemessage
61,User:profile edit page,Manage Profile,control,FloristProfileController
62,User:invalid information error message,Manage Profile,control,OrderForm
63,Edit profile button:display profile edit page,Manage Profile,control,FloristProfileController
64,pre-check required fields:invalid information error message,Manage Profile,control,OrderForm
65,pre-check required fields:update profile entry,Manage Profile,control,FloristProfileController
66,profile edit page:pre-check required fields,Manage Profile,control,precheckrequiredfields
67,update profile entry:successful change message,Manage Profile,boundary,successfulchangemessage
68,update profile entry:user info,Manage Profile,entity,User
69,stl#User:Edit profile button,Manage Profile,Stimulus,undefined
70,stl#User:existing profile error message,Manage Profile,Stimulus,undefined
71,stl#User:successful change message,Manage Profile,Stimulus,undefined
72,stl#User:profile edit page,Manage Profile,Stimulus,undefined
73,stl#User:invalid information error message,Manage Profile,Stimulus,undefined
74,User:payment information page,Place Order,control,location
75,User:missing information for payment message,Place Order,boundary,successfulchangemessage
76,thirdpart payment system:send error message for invalid payment information,Place Order,control,user_location
77,thirdpart payment system:approve transaction and display successful message,Place Order,boundary,successfulchangemessage
78,verify payment information:thirdpart payment system,Place Order,actor,System Boundary
79,approve transaction and display successful message:payment successful message,Place Order,boundary,successfulchangemessage
80,invalid payment inforrmation:redirect to payment page,Place Order,control,precheckrequiredfields
81,send error message for invalid payment information:invalid payment inforrmation,Place Order,control,PayPalInstance
82,redirect to payment page:missing information for payment message,Place Order,boundary,successfulchangemessage
83,pre-check if required information is empty:missing information for payment message,Place Order,boundary,successfulchangemessage
84,payment information page:pre-check if required information is empty,Place Order,control,precheckrequiredfields
85,payment successful message:redirect to payment page,Place Order,control,precheckrequiredfields
86,pre-check if required information is empty:verify payment information,Place Order,control,CustomerForm
87,stl#User:payment information page,Place Order,Stimulus,undefined
88,stl#User:missing information for payment message,Place Order,Stimulus,undefined
89,stl#thirdpart payment system:send error message for invalid payment information,Place Order,Stimulus,undefined
90,stl#thirdpart payment system:approve transaction and display successful message,Place Order,Stimulus,undefined
91,customer:unread message,Private Message - Florist,boundary,successfulchangemessage
92,customer:reply input panel,Private Message - Florist,boundary,loginpage
93,customer:dashboard page,Private Message - Florist,boundary,loginpage
94,dashboard page:display unread message,Private Message - Florist,boundary,successfulchangemessage
95,display comment input panel:message,Private Message - Florist,boundary,successfulchangemessage
96,display comment input panel:reply input panel,Private Message - Florist,boundary,loginpage
97,unread message:display comment input panel,Private Message - Florist,control,PayPalInstance
98,display unread message:message,Private Message - Florist,boundary,successfulchangemessage
99,display unread message:unread message,Private Message - Florist,boundary,successfulchangemessage
100,save replied message:message,Private Message - Florist,boundary,successfulchangemessage
101,reply input panel:save replied message,Private Message - Florist,boundary,successfulchangemessage
102,stl#customer:unread message,Private Message - Florist,Stimulus,undefined
103,stl#customer:reply input panel,Private Message - Florist,Stimulus,undefined
104,stl#customer:dashboard page,Private Message - Florist,Stimulus,undefined
105,customer:chat button,Private message,control,location
106,customer:successful communication message,Private message,boundary,successfulchangemessage
107,customer:exceeded limit error message,Private message,boundary,successfulchangemessage
108,customer:comment and concerns panel,Private message,boundary,CustomerController
109,chat button:display chat panel,Private message,control,PayPalInstance
110,comment and concerns panel:save comments/concerns,Private message,boundary,CustomerController
111,display chat panel:comment and concerns panel,Private message,boundary,CustomerController
112,save comments/concerns:message,Private message,boundary,successfulchangemessage
113,save comments/concerns:successful communication message,Private message,boundary,successfulchangemessage
114,stl#customer:chat button,Private message,Stimulus,undefined
115,stl#customer:successful communication message,Private message,Stimulus,undefined
116,stl#customer:exceeded limit error message,Private message,Stimulus,undefined
117,stl#customer:comment and concerns panel,Private message,Stimulus,undefined
118,florist:update successful page,Provide tracking information,boundary,successfulchangemessage
119,florist:Order page,Provide tracking information,entity,Order
120,Order page:update order status information,Provide tracking information,control,OrderForm
121,update order status information:order,Provide tracking information,entity,Order
122,update order status information:update successful page,Provide tracking information,boundary,successfulchangemessage
123,stl#florist:update successful page,Provide tracking information,Stimulus,undefined
124,stl#florist:Order page,Provide tracking information,Stimulus,undefined
125,customer:review panel,Review and Rating,entity,review
126,customer:review button,Review and Rating,entity,review
127,customer:too short review error message,Review and Rating,boundary,ReviewForm
128,display review penal:review panel,Review and Rating,entity,review
129,review button:display review penal,Review and Rating,entity,review
130,pre-check if length of review is legal:store review and rating information,Review and Rating,boundary,ReviewForm
131,pre-check if length of review is legal:too short review error message,Review and Rating,boundary,ReviewForm
132,review panel:pre-check if length of review is legal,Review and Rating,control,precheckrequiredfields
133,store review and rating information:review,Review and Rating,entity,review
134,stl#customer:review panel,Review and Rating,Stimulus,undefined
135,stl#customer:review button,Review and Rating,Stimulus,undefined
136,stl#customer:too short review error message,Review and Rating,Stimulus,undefined
137,User:product search page,Search Product,control,product
138,User:product page,Search Product,control,product
139,User:No product error message,Search Product,control,product
140,query product by criteria:No product error message,Search Product,control,product
141,query product by criteria:product,Search Product,control,product
142,query product by criteria:product page,Search Product,control,product
143,product search page:query product by criteria,Search Product,control,product
144,stl#User:product search page,Search Product,Stimulus,undefined
145,stl#User:product page,Search Product,Stimulus,undefined
146,stl#User:No product error message,Search Product,Stimulus,undefined
147,user:no order history page,Track Order,boundary,OrderRepository
148,user:order status,Track Order,entity,Order
149,user:Track order button,Track Order,entity,Order
150,Track order button:retrieve order status,Track Order,control,orderentry
151,retrieve order status:no order history page,Track Order,boundary,OrderRepository
152,retrieve order status:order,Track Order,entity,Order
153,retrieve order status:order status,Track Order,entity,Order
154,stl#user:no order history page,Track Order,Stimulus,undefined
155,stl#user:order status,Track Order,Stimulus,undefined
156,stl#user:Track order button,Track Order,Stimulus,undefined
157,florist:exceeded limit error message,Upload catalog,boundary,successfulchangemessage
158,florist:information is invalid,Upload catalog,control,location
159,florist:Upload page,Upload catalog,boundary,loginpage
160,Upload page:pre-check if required information valid,Upload catalog,control,precheckrequiredfields
161,save uploaded information to db:category,Upload catalog,control,location
162,pre-check if required information valid:exceeded limit error message,Upload catalog,boundary,successfulchangemessage
163,pre-check if required information valid:information is invalid,Upload catalog,control,location
164,pre-check if required information valid:save uploaded information to db,Upload catalog,control,location
165,stl#florist:exceeded limit error message,Upload catalog,Stimulus,undefined
166,stl#florist:information is invalid,Upload catalog,Stimulus,undefined
167,stl#florist:Upload page,Upload catalog,Stimulus,undefined
168,florist:order history list,View Past Transactions,boundary,OrderRepository
169,florist:no order history page,View Past Transactions,boundary,OrderRepository
170,florist:Order history button,View Past Transactions,boundary,OrderRepository
171,Order history button:retrieve order history for a florist,View Past Transactions,control,FloristForm
172,retrieve order history for a florist:no order history page,View Past Transactions,boundary,OrderRepository
173,retrieve order history for a florist:order,View Past Transactions,entity,Order
174,retrieve order history for a florist:order history list,View Past Transactions,boundary,OrderRepository
175,stl#florist:order history list,View Past Transactions,Stimulus,undefined
176,stl#florist:no order history page,View Past Transactions,Stimulus,undefined
177,stl#florist:Order history button,View Past Transactions,Stimulus,undefined
178,User:Order history button,View order history,boundary,OrderRepository
179,User:no order history page,View order history,boundary,OrderRepository
180,User:order history list,View order history,boundary,OrderRepository
181,Order history button:retrieve order history,View order history,control,orderentry
182,retrieve order history:no order history page,View order history,boundary,OrderRepository
183,retrieve order history:order,View order history,entity,Order
184,retrieve order history:order history list,View order history,boundary,OrderRepository
185,stl#User:Order history button,View order history,Stimulus,undefined
186,stl#User:no order history page,View order history,Stimulus,undefined
187,stl#User:order history list,View order history,Stimulus,undefined
