id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff
1,stl#User:add to cart button->User:add to cart button->add to cart button:check db if available->check db if available:not available error message,Add to cart,CTRL,4,0,2.3333333333333335,3,9.333333333333334
2,stl#User:add to cart button->User:add to cart button->add to cart button:check db if available->check db if available:product,Add to cart,CTRL,4,1,1.6666666666666667,3,6.666666666666667
3,stl#User:add to cart button->User:add to cart button->add to cart button:check db if available->check db if available:add to cart->add to cart:cart,Add to cart,CTRL,5,2,2,4,10
4,stl#User:not available error message->User:not available error message,Add to cart,CTRL,2,0,3,1,6
5,stl#User:Create Profile Page->User:Create Profile Page->Create Profile Page:pre-check if input is empty->pre-check if input is empty:successful information for creation,Create profile,CTRL,4,3,2,3,8
6,stl#User:Create Profile Page->User:Create Profile Page->Create Profile Page:pre-check if input is empty->pre-check if input is empty:send information in db->send information in db:user info,Create profile,CTRL;EXTCLL;DM;EI,5,4,1.5,4,7.5
7,stl#User:Create Profile Page->User:Create Profile Page->Create Profile Page:pre-check if input is empty->pre-check if input is empty:existing profile error message,Create profile,CTRL,4,3,2.3333333333333335,3,9.333333333333334
8,stl#User:Create Profile Page->User:Create Profile Page->Create Profile Page:pre-check if input is empty->pre-check if input is empty:error message for empty input,Create profile,CTRL,4,3,2,3,8
9,stl#User:existing profile error message->User:existing profile error message,Create profile,CTRL,2,0,3,1,6
10,stl#User:successful information for creation->User:successful information for creation,Create profile,CTRL,2,0,2,1,4
11,stl#User:error message for empty input->User:error message for empty input,Create profile,CTRL,2,0,2,1,4
12,stl#User:invalid input error message->User:invalid input error message,Login,CTRL;EXTCLL;INT,2,0,3,1,6
13,stl#User:login page->User:login page->login page:pre-check if input is empty->pre-check if input is empty:query authentication info->query authentication info:user info,Login,TRAN_NA,5,14,2,4,10
14,stl#User:login page->User:login page->login page:pre-check if input is empty->pre-check if input is empty:invalid input error message,Login,TRAN_NA,4,13,3,3,12
15,stl#User:login page->User:login page->login page:pre-check if input is empty->pre-check if input is empty:error message for empty input,Login,TRAN_NA,4,13,3,3,12
16,stl#User:logout button->User:logout button->logout button:clear session->clear session:query authentication info->query authentication info:Session,Logout,CTRL,5,2,2,4,10
17,stl#User:logout button->User:logout button->logout button:clear session->clear session:invalid input error message,Logout,CTRL;EXTCLL;INT,4,1,2,3,8
