id,element,useCase,type,component
1,User:Add provider button,Add New Provider,boundary,Provider Profile
2,User:provider information input page,Add New Provider,boundary,Medical services pricing information
3,User:Provider created success message,Add New Provider,boundary,Provider Profile
4,Add provider button:Display provider add page,Add New Provider,boundary,Provider Profile
5,Display provider add page:provider information input page,Add New Provider,boundary,Medical services pricing information
6,create a new provider:Provider,Add New Provider,boundary,Provider Profile
7,Provider created success message:Update provider rating information,Add New Provider,boundary,Rating and review information
8,create a new provider:Provider created success message,Add New Provider,boundary,Provider Profile
9,Update provider rating information:Rating,Add New Provider,boundary,Rating and review information
10,provider information input page:create a new provider,Add New Provider,boundary,Provider Profile
11,stl#User:Add provider button,Add New Provider,Stimulus,undefined
12,stl#User:provider information input page,Add New Provider,Stimulus,undefined
13,stl#User:Provider created success message,Add New Provider,Stimulus,undefined
